given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
mia,white,40.0,dyson street,dishley farm,greenacre,7249,sa,19410125.0,1462412,mia,white,40.0,dyson street,dishley farm,elsternwick,7249,sa,19410125.0,1462412,1
kirra,campbell,29.0,groom street,rockleigh cottage,north ryde,3206,nsw,19951128.0,9444838,kirra,browne,26.0,shoalhaven avenue,loormeah park,surry hills,3042,tas,19403407.0,8221881,0
lucas,simmonds,20.0,blackwood terrace,lyndon lodge,kilmore,6333,wa,19101023.0,5919385,lucas,simmonds,25.0,blackwood terrace,lyndon lodge,kilmor,6333,wa,19101023.0,5919385,1
annabel,thorpe,19.0,ardlethan street,galloway,rokeby,4670,vic,19920305.0,2814912,annabel,thropr,21.0,airey crescent,galloway,rokeby,4670,vic,19920305.0,2814912,1
lachlan,matthews,6.0,mcmillan crescent,corcoran,miriam vale,2009,nsw,19420818.0,7138643,lachlan,matthews,6.0,mcmillan crsecent,corcoran,miriam vale,2009,nsw,19420818.0,7138643,1
samantha,bellon,262.0,rosenthal street,anzac house (cnr archer s street,beaconsfield upper,3099,vic,19661212.0,1850361,samantha,ryan,16.0,forsythe street,murrawarra,winthrop,4800,nsw,19100120.0,2049414,0
,reid,46.0,dooring street,windalea,dandenong north,3581,nsw,19130312.0,1322845,,webxb,3.0,anukana,mclachla nstreet,eastwood,2121,vic,19175009.0,8331654,0
joshua,wardle,13.0,pennefather street,greenlake,joondanna,2605,act,19450501.0,4072887,joshua,trait,94.0,batchelor street,kurrajong,mirboo north,2259,sa,19161010.0,9285169,0
lachlan,,27.0,mugga way,,leichhardt,2150,nsw,19700930.0,6838887,lachlan,shephaerd,1.0,grainger circuit,willandra,adaminaby,7250,nsw,19080122.0,3139543,0
fraser,burford,39.0,davidson street,riverbend,kingston,3183,qld,19310910.0,6160407,fraser,jasniach,39.0,davidson street,riverbend,kingston,3183,qld,19310910.0,6160407,1
michael,boyle,3.0,river street,,lakemba,2611,vic,19091217.0,7962096,michael,shepherd,39.0,pinkerton c ircuit,millwood,camira,3378,nsw,19301008.0,3537158,0
jaxin,mccarthy,46.0,dalyell street,wiringa,marsden,3142,nsw,19640914.0,9531739,ben,conick,,marsden rtreet,,page,3108,nsw,19760130.0,5241188,0
georgia,tunstall,30.0,beadle place,holmleigh,caulfield north,3046,sa,19330720.0,4656516,georgia,hantke,2051.0,hovea dtreet,,cromer,3199,vic,19260708.0,1055098,0
ellie,green,17.0,brereton street,warrawong,hocking,4306,nsw,19080412.0,4034632,singleton,harbry,57.0,mackenzke street,terranora,currambine,2506,nsw,19170130.0,1412842,0
nicholas,millar,201.0,temperley street,malanda orchard,hyde park,2767,wa,19300617.0,1000123,nicholas,pontt,27.0,bulli place,wattle mount,new farm,2750,vic,19570101.0,3411264,0
,papageorgiou,22.0,wisdom place,lazee m,smithfield plains,2350,nsw,19070623.0,4609745,,greeln,32.0,brockway circuit,nuffield village,torrensville,4221,nsw,19591115.0,4867858,0
jacqueline,finlay,8.0,nerli place,moondani,st albans,6084,vic,19831107.0,6173156,jacqueline,finlay,8.0,nerli place,moon dani,deer park,6084,vic,19831107.0,6173156,1
emiily,dolan,19.0,bagshaw place,legacy units,hopefield,2705,tas,19320911.0,7815080,emiily,,19.0,bagshaw place,legacy units,hopefield,2705,tas,19320911.0,7815080,1
isabella,,576.0,grimshaw street,brentwood vlge,tara,2099,qld,19440214.0,5901255,isabella,flassman,28.0,mceacher ncrescent,st vincents hospital,rosbeud,2122,qld,19090623.0,1271090,0
cameron,cioffi,18.0,harpur street,inverneath,new farm,2153,qld,19860725.0,7511789,cameron,cioffi,11.0,,inverneath,newf arm,2153,qld,19860725.0,7511789,1
,czarnik,10.0,bunbury street,glenavon,ulmarra,4225,qld,19601222.0,3960160,,herbret,2.0,coplan d rive,boolig al,gin gin,3971,nsw,19160928.0,6069675,0
mitchell,ramush,1.0,hann street,keira,sunshine beach,3943,sa,19480321.0,7925486,mitchell,ramush,,hann street,,sunshine beach,3943,sa,19480321.0,7925486,1
jordan,godfrey,19.0,bettington circuit,raycroft,merricks north,2229,nsw,19380817.0,1480851,jordan,godfrey,79.0,bettington circuit,raycrfot,merricks north,2229,nsw,19380817.0,7501347,1
brydon,macgowan,14.0,jaeger circuit,glenview,oaklands park,7262,act,19130615.0,8190321,brydon,macgowan,14.0,jaeger circuit,glenview,,7262,,19130615.0,8190321,1
,binns,90.0,plummer street,toowoomba,hoppers crossing,2026,sa,19011227.0,4137992,,pringle,46.0,woodfulldloop,,woori yallock,6101,vic,19250210.0,4259044,0
taliah,pascoe,17.0,,glenview,north turramurra,5540,nsw,19960111.0,7724515,taliah,clarke,16.0,,brentwood vlge,green acre,4158,qld,19521121.0,8211585,0
amy,urenda,15.0,jerrabomberra avenue,narraburra lodge,riverwood,4610,vic,19040320.0,4689528,amy,urenea,3.0,verbruggh en street,narraburrj lodge,riverwood,4610,vic,19040320.0,4689528,1
,ongkiko,15.0,murray crescent,rowethorpe,corowa,6156,nsw,19740627.0,8899763,,campbell,4.0,dunbar svtreet,delicate nobby street,cloverdale,2528,vic,19480406.0,8607518,0
thomas,brooker,464.0,clive steele avenue,glenburn,springwood,2046,vic,19100324.0,5168589,thomas,webb,7.0,scottsdale street,,brighton,6052,vic,19990815.0,9760969,0
joshua,fogliano,522.0,hawdon street,francis chambers,bonville,6167,qld,19290927.0,3505678,joshua,cupo,16.0,greglea village,gabriel place,lobethal,5126,qld,19670425.0,4178304,0
harrison,gillard,18.0,melba street,ningana,loganlea,2162,qld,19840128.0,8021771,harrison,nguyemn,,fraenk ek street,harvuc,cardiff,3073,tas,19240421.0,5852654,0
alysha,nguyen,7.0,hurley street,avenue road,brunkerville,3944,nsw,19970304.0,4977712,alysha,nguyen,7.0,hurleystreet,avenue road,brunkerville,3904,nsw,19970304.0,4977712,1
noah,wiseman,17.0,wakefield garden,kareela,frenchs forest,6535,nsw,19640101.0,8735485,noah,birthisel,,marulda street,nunkeri,abbotsford,2820,vic,19960805.0,7177159,0
jacob,mcfadden,70.0,cowdery place,plumpton park,sunshine,5086,nsw,19090731.0,9735499,jacob,mcfaddeen,70.0,cowdery lace,plumpotn park,sunshine,5086,nsw,19090731.0,9735499,1
alessandra,van groesen,,arthur circle,hse 4,o'connor,3040,sa,,5885340,alessandra,van groesen,,arthurcircle,hse 4,o'connor,3040,sa,,5885340,1
talia,wotton,211.0,burn street,gillin park,seymour,812,nsw,19781119.0,8432542,talia,brable,5.0,wattle street,taree cacavn park,northb ondi,5074,vic,19950423.0,2565238,0
jack,harrington,,gladstone street,amberu,watsonia,4066,nsw,19820311.0,7610085,jack,webb,87.0,hodgkinson ystreet,rabbit warren,st kildaeast,2216,nsw,19730327.0,4227791,0
,lund,109.0,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902.0,7074690,,milla,1.0,bandulla street,sherwood,forcett,3463,tas,19580204.0,7520191,0
emiily,gruener,14.0,jarman place,girrahween homestead,kalorama,3003,vic,19780128.0,4299404,emiily,maida,27.0,beaneystreet,blue gum park,padstow,3340,qld,19790818.0,7320684,0
joel,badger,75.0,blamey crescent,brookfields,broadford,4807,qld,19791106.0,2164581,joel,burnell,4.0,pickles street,,woombye,2478,qld,19300112.0,4694746,0
max,bradshaw,13.0,marrakai street,arkaba,st kilda,3108,wa,19621220.0,4677446,max,bradshaw,,marrakai street,arkava,rollesron,3108,vic,19621220.0,4677446,1
joshua,crosswell,49.0,batchelor street,kurrajong,mirboo north,2259,sa,19161010.0,9285169,joshua,corbin,83.0,fiveboafks,tweed pvlace,keilor,4718,nsw,19721018.0,7955748,0
matteus,wilde,13.0,cumberlege crescent,treetops,bourke,4740,qld,19260702.0,7889277,matteus,wilde,13.0,cumberleg ecrescent,,bourke,4740,qld,19260702.0,7889277,1
james,de chellis,47.0,kitchener street,rowethorpe,rowan,2833,nsw,19330807.0,7941748,james,kostrzynski,3.0,berkeley vlge,chipperfield circuit,potts point,4285,vic,19200505.0,6498292,0
samantha,stanley,16.0,jay place,knackery rhs,kingston,6330,vic,19951027.0,2725144,samantha,,,o'sullivan street,brentwood vlge,yarra jubction,7320,vic,19380113.0,3912051,0
,dojcic,15.0,barraclough crescent,brookvale,tolga,2025,qld,19990331.0,7180320,,ebert,69.0,rapanea street,pangabi,,6061,nsw,19310909.0,9105802,0
andrew,iovino,21.0,seddon place,civic centre,millers point,2763,nsw,19560823.0,3865428,emiily,crapp,3.0,couchman c rescent,glendower,ramsgate,2035,nsw,19500106.0,6187478,0
erin,red,,cornish place,ferndale,renown park,2281,vic,19420519.0,7078005,erin,buttrose,,greeves street,aprt 22,clarkson,5172,vic,19810203.0,5640265,0
,crapp,3.0,couchman crescent,glendower,ramsgate,2035,nsw,19500106.0,6187478,,bazley,14.0,pennefather street,the willotws,greensbrough,4209,wa,19110509.0,7072734,0
kirra,watkin,29.0,geelong street,krismark,nicholls,2088,nsw,19700924.0,1203301,kirra,large,20.0,jondol place,coolsdie,blaclheath,2034,qld,19620904.0,6564371,0
charlotte,bishop,24.0,bourne street,dp 808602,port macquarie,3844,sa,19420131.0,5896457,charlotte,,64.0,elvire olace,mt pleasant,port macpquarie,2210,tas,19182115.0,3647256,0
alexandra,newberry,69.0,earle place,broome vacation village,wallsend,3749,nsw,19691006.0,5799594,alexandra,milalr,1.0,loureirostreet,kill arney,alice springs,4230,vic,19180327.0,8677356,0
alexander,eglinton,1.0,grampians street,ben hill,birkenhead,3885,vic,19700511.0,2618040,alexander,heron,11.0,damalastreet,,westmeadows,5159,vic,19660531.0,1400642,0
ruby,nguyen,26.0,barraclough crescent,northbridge park,st peters,4011,qld,19521110.0,8292725,ruby,hentze,30.0,harkness street,glenearra,florey,4178,sa,,2379793,0
ella,perriam,17.0,chipperfield circuit,kingfisher lodge,north bondi,5022,act,19090118.0,7801650,ella,richmond,195.0,flack srteet,,berwick,5109,nsw,19820727.0,7932680,0
,braithwaite,136.0,kemsley place,john flynn medical centre,bellevue hill,2234,qld,19730806.0,8732209,,white,10.0,spafford crescent,clear cr eoek,pakenhm,4059,nsw,19480205.0,7285108,0
jack,braddy,14.0,arndell street,parma farm,goodna,2450,nsw,19200906.0,9738539,jack,fitzpatrick,16.0,normantreet,lort hfe ights,scarborough,2520,,19190814.0,5911934,0
matthew,apted,1369.0,macrobertson street,pine tree,toowoon bay,2120,vic,19540130.0,5268631,matthew,ploughman,,goodhope,severne crescent,raby,2542,wa,19900710.0,4917759,0
georgia,cother,30.0,captain cook crescent,whiskers hill,seelands,2220,nsw,19171218.0,8148701,georgia,cothber,132.0,captain cookq crescent,whiske r dhill,seelands,2220,nsw,19171218.0,8148701,1
jack,bartel,103.0,bailey place,killarney,christie downs,2228,nsw,19060129.0,7898705,jack,rudd,4.0,limestone avenue,orcadia park,hoppers crossing,5007,nsw,19086018.0,3984278,0
daniel,callahan,119.0,halifax close,medical centre,smythesdale,2400,nsw,19530309.0,3925704,daniel,reid,2.0,luehmann street,kia ndra,halifax,3138,vic,19800504.0,3499915,0
amber,reid,3.0,hedley street,westerham,bibra lake,6108,vic,19440915.0,9481816,amber,reid,3.0,hedleystreet,westehram,bibra lake,6108,vin,19449015.0,9481816,1
noah,bishop,23.0,shannon circuit,eriswell park,south perth,4551,nsw,19210214.0,5100494,noah,berry,58.0,alice jackse on crescent,rosehill,hawthorn,5251,sa,19240908.0,1446426,0
,green,13.0,spowers circuit,brookfield,labrador,5063,nsw,19421213.0,8321036,,teteirs,,kellermann close,b oneo,brighton,3030,nsw,19381004.0,5797955,0
fergus,sherin,3.0,whitford place,locn 2093,mulwala,6064,nsw,19950727.0,1284784,fergus,sherin,3.0,whitford place,locn2093,mulwala,6064,nsw,19950727.0,1284784,1
jaxson,ryan,51.0,staunton place,wilderness,greenacre,6430,vic,19270613.0,7731951,jaxson,ryan,1.0,staunton place,wildernhss,greenacre,6430,vic,19270613.0,7731951,1
olivia,dessart,165.0,macvitie place,brambletye vinyard,lindenow south,4128,vic,19361017.0,2517857,olivia,thorpe,19.0,pudneystreet,parry h ouse,mount evelyn,2619,vic,19430807.0,3939861,0
,teague,38.0,emily bulcock crescent,locn 341,caulfield,2041,nsw,19900523.0,1754920,,clarke,14.0,,rowethorpe,newcastle,2202,vic,19670314.0,9542197,0
emiily,white,26.0,marr street,grangemouth,lower templestowe,3161,vic,19290127.0,4621716,emiily,white,26.0,marrstreet,,lower templestowe,3161,vci,19290127.0,4621716,1
robert,leane,8.0,green street,court units,broadbeach waters,4128,vic,19880611.0,3938828,robert,leane,8.0,green street,court units,broadbeadh waters,4128,vic,19880611.0,3938828,1
,lowry,6.0,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708.0,6616912,,ebert,69.0,rapanea street,pangabi,,6061,nsw,19310909.0,9105802,0
michael,webb,22.0,karrugang circuit,brentwood village,bokarina,2280,nsw,19571020.0,3226586,michael,webb,22.0,karrugangdcircuit,brentwood village,bokarina,2280,nsw,19571020.0,3226586,1
lachlan,clarke,20.0,condamine street,deswod,chester hill,4019,qld,19900626.0,5423805,lachlan,rees,25.0,darwinia terrace,,ulverstone,3162,vic,19131017.0,1414477,0
jack,rudd,4.0,limestone avenue,orcadia park,hoppers crossing,5007,nsw,19080618.0,3984278,jack,rudd,4.0,limestone avenue,orcadia park,hoppers crossing,5007,nsw,19086018.0,3984278,1
christopher,george,12.0,loftus street,brookvale,mayfield,6016,nsw,19741228.0,2025503,christopher,george,12.0,hopetoun circuit,brookavle,mayfield,6016,nsw,19741228.0,2025503,1
,stubbs,175.0,aspinall street,cruachan,albany creek,5162,vic,19380924.0,6966319,,clarke,,edkins street,conmurra,balcatta,2162,nsw,19360520.0,2120525,0
,clarke,13.0,hicks street,brentwood vlge,broadmeadows,3095,vic,19340818.0,7285543,,grierson,326.0,,sect 106,mcmahons point,6362,tas,19181212.0,4107638,0
april,wehr,1.0,ellerston avenue,darlington,joondanna,2150,wa,19941109.0,2560536,maddison,weidenhofer,28.0,dinnisonc ircuit,,bray park,2584,qld,19200802.0,6273334,0
,noble,5.0,carter crescent,belgravia estate,glenwood,5114,vic,19120724.0,8141708,,noble,5.0,belgravia estate,carnegie crescent,glenwoyod,5119,vic,19120724.0,8141708,1
lauren,harrington,17.0,leibnitz place,rosetta village,granville,6066,vic,19550719.0,2207203,lauren,perrwe,22.0,castleton crescent,karinayh,oran ge,7250,act,19820605.0,6993851,0
jack,fitzpatrick,,condell street,sec 1,fullarton,2221,vic,19041121.0,9595043,jack,mayman,65.0,hutchins street,,kinglake west,3260,vic,19900106.0,6187556,0
michael,shepherd,39.0,pinkerton circuit,millwood,camira,3377,nsw,19301008.0,3537158,michael,degasoeri,43.0,rushbrook circuit,lyndake,hamilton north,2282,vic,19951012.0,2192076,0
noah,maier,2.0,cromwell circuit,pine view,ryde,4700,nsw,19020410.0,4418189,noah,doman,20.0,boucaut place,oakdale,clarinda,3072,vic,,4747349,0
,ryan,42.0,beazley crescent,shaudell,torquay,830,sa,19820718.0,9041824,,papageorgiou,22.0,wisdom place,,smithfiel dplains,2350,nsw,19070623.0,4609754,0
jacinta,lenzi,10.0,couvreur street,mt drysdale,mortlake,2068,qld,19640807.0,1067001,jacinta,lenzi,10.0,couvreur street,mtdr sydale,mortlkae,2068,qld,19640807.0,1067001,1
benjamin,green,12.0,woolner circuit,mirani,reynella,2905,sa,19651021.0,8195933,benjamin,ever ett,17.0,herron crescent,redhill,forrestfield,3550,nsw,19750204.0,2043392,0
sophie,noble,9.0,university avenue,shenstone park,albion park,3325,vic,19361013.0,3379987,sophie,rivera,9.0,burkitt street,lake chastworth,sheidow park,2089,qld,19830203.0,1376770,0
michael,ryan,114.0,hopetoun circuit,oakdene,sussex inlet,3020,qld,19130121.0,4530596,kyle,block,45.0,erldunda circuit,mt warrigalretrmnt vlge,greenacre,2614,nsw,19740424.0,4380571,0
amber,coleman,13.0,lennard street,barnawartha,bourke,4163,vic,19960625.0,2700453,amber,nicolakopoulos,38.0,atkinson street,mount patrick,edgewter,2905,sa,19910707.0,9220881,0
,carullo,5.0,longman street,home vlge,mawson,4572,nsw,19260527.0,5895140,,della-veede,113.0,rivett street,glen eden,figtree,2660,vic,19010271.0,8895395,0
,papageorgiou,22.0,wisdom place,lazee m,smithfield plains,2350,nsw,19070623.0,4609745,,chandler,183.0,macnamara place,st johnof god hospital,greenwith,2047,wa,19011201.0,6692802,0
bianca,bishop,96.0,crozier circuit,linton,wolvi,4812,nsw,19761209.0,6772943,bianca,ryan,120.0,de little i rcuit,march rising,westmead,6163,wa,19091028.0,4864427,0
jarryd,reid,144.0,loftus street,sherwood,bundaberg,812,qld,19630527.0,8120709,jarryd,rei,105.0,bauhinia street,sherwood,bundaberg,812,qld,19630527.0,8120709,1
jasper,ryan,58.0,clifford crescent,karbar station,brunswick west,2480,vic,19331202.0,5561624,jasper,,6.0,mirroolstreet,bristin,mosman,2745,nsw,19640228.0,1807750,0
zac,dixon,101.0,dodwell street,unt 3,macgregor,4627,wa,19960221.0,8228346,zac,doman,112.0,buvelotstreet,,ballarat,2097,qld,19150628.0,7022901,0
,dunnicliff,97.0,banfield street,milton,,2116,vic,19130108.0,6220830,,mainsbridge,12.0,cazaly close,earl haven,colac,3199,wa,19110409.0,9927051,0
jack,dunnicliff,63.0,tristania street,legacy vlge,sale,2428,vic,19760618.0,4815066,jack,ziersch,9.0,melba street,belvedgere,nes farm,5501,wa,19741024.0,8799452,0
serena,webb,9.0,,aptmnt 2,tin can bay,2540,qld,19770422.0,3504192,serena,dorrell,22.0,ayers street,rosehull,normanhurst,5290,vic,19970507.0,8746575,0
,nguyen,9.0,chaseling street,,burwood east,2122,qld,19400119.0,4833200,,brain,31.0,benham street,tagarra,belmont,3161,nsw,19860305.0,8028191,0
harvey,roselli,132.0,twelve trees crescent,dargam,reynella,3089,vic,,7501852,harvey,white,132.0,twelve trees crescent,dargam,reynella,3089,vic,,7501852,1
benjamin,lowe,45.0,macrossan crescent,koyo,kingston,6057,nsw,19250611.0,5513136,benjamin,herbert,,vonwilleer crescent,,geelong east,3163,nsw,19310822.0,6246038,0
,vincent,47.0,kent street,blue hills,forest hill,4655,vic,19190304.0,5807175,,wanders,453.0,louis loder street,hilltop iew motel,avoca,2284,qld,19120509.0,3198280,0
tara,stanley,109.0,haswell place,dale view,surfers paradise,2196,nsw,19091118.0,7519489,tara,o'shannessy,233.0,osburn d rive,,maitlnd,2640,nsw,19380807.0,4654746,0
,berry,276.0,victoria street,coorabil,bayswater,3166,nsw,19250620.0,3866668,,clarkd,,streeter place,riverside plaza,port lincoln,2090,sa,19700607.0,1250298,0
emiily,tidey,6.0,hazel street,duck creek,cooloongup,800,nsw,19591017.0,6058396,emiily,mccarthy,10.0,mcintosh tsreet,kiloran,port fairy,6110,nsw,19330313.0,6901115,0
adam,barnetson,3.0,wicks road,,vermont,2234,nsw,19770922.0,1249535,adam,tuckwell,38.0,mcmillan crescent,,broome,5037,nsw,19960528.0,8397512,0
,prideaux,117.0,wilshire street,rosetta village,loch,4503,nt,19700320.0,4150192,,beattie,56.0,howchin place,,mount isa,3921,vic,19980913.0,3509530,0
,ryan,20.0,ashburton circuit,wilderness,cressy,2580,vic,19890211.0,3864187,,oreskovic,16.0,marrakai strqeet,gooroomon park,ballaat,2035,wa,19710815.0,4253689,0
angie,hyland,1.0,wardell place,port fairy road,beaumaris,4650,wa,19770803.0,7407973,angie,hylaned,1.0,wardell place,port fairy road,beaumaris,4605,wa,19770803.0,7407973,1
emiily,finlay,20.0,temperley street,lincoln close,bellevue hill,2231,qld,19000801.0,1739435,emiily,maida,27.0,beaneystreet,blue gum park,padstow,3340,qld,19790818.0,7320684,0
jesse,webb,48.0,pennington crescent,thistledoo,currajong,6112,nsw,19931125.0,1432305,jesse,white,9.0,dalley crescent,,north ikrra,3143,nsw,19820904.0,8123158,0
kydan,burford,249.0,garran place,cape hawke hosptl medcl centre,launceston south,2162,nsw,19530728.0,5743011,kydan,burford,249.0,garran place,cape hawke hosptl medcl centre,launcestno south,2126,nsw,19530728.0,5743011,1
gillian,chandler,232.0,caladenia street,,gowrie,3150,nsw,19960922.0,4237925,gillian,chanlder,232.0,caladenia street,,gowrie,3150,nsw,19960922.0,4237925,1
joshua,millar,4.0,chowne street,lirambenda,springfield,2088,qld,19410825.0,6371427,joshua,akot,8.0,edmunds place,villal18,dapto,6071,vic,,3188786,0
,allard,26.0,dyring place,retirement village,south perth,4852,nsw,19491011.0,9472794,,lock,4.0,tauss place,argyle,woodcroft,2028,sa,19130105.0,6312603,0
jock,sedunary,466.0,douglas close,the briar patch,nar nar goon,3015,sa,19970805.0,3855499,jock,sedunary,466.0,douglas clnose,,nar nar goon,3015,sa,19970805.0,3855499,1
sophie,rivera,9.0,burkitt street,lake chatsworth,sheidow park,2089,qld,19830203.0,1376770,sophie,bacchus,11.0,adamson c rescent,tweed heritage caravan park,katherine,2036,nsw,19700707.0,3628289,0
jack,mason,,schomburgk street,mlc centre,beverly hills,4074,sa,19560710.0,4752429,jack,morell,74.0,horrocks street,ulinga,toorak,2000,vic,19371114.0,2710625,0
matthew,green,57.0,howitt street,,,4740,wa,19861119.0,3767916,matthew,schuster,1.0,elmslie place,centrefai rplaza,ulladulla,2251,vic,19890911.0,9319732,0
hayley,burford,7.0,bavin street,kooyong,little mountain,4154,vic,19640509.0,6451932,hayley,morrion,35.0,kirkwood crescent,vill a 183,sprin gwood,2396,vic,19000326.0,8113043,0
alexandra,steers,38.0,banambila street,john flynn medical centre,taree,2820,vic,19560329.0,6925665,alexandra,clarke,15.0,rsd b 284,parnell roa,,4014,sa,19890608.0,7235143,0
ethan,wotton,10.0,crisp circuit,marlou,beenleigh,3400,qld,19260127.0,9022306,ethan,hipkiss,7.0,lempriere crescent,spring creek,woolgoolga,3199,qld,19500212.0,3524910,0
jayden,pendle,484.0,naas road,weeroona,mount gravatt,2164,vic,19070815.0,6759267,jayden,thorpe,44.0,warrego ciercuit,yacklin,cabramatta,2259,wa,19281105.0,6871482,0
benjamin,ayres,32.0,french street,red cedars motel,,3021,qld,19150927.0,1244940,benjamin,lovelock,1.0,tanumbirin i street,apmnt 203,willetton,4570,nsw,19980628.0,6282406,0
tayah,noble,10.0,city walk,george forbes house,merino,5096,vic,19250315.0,8376614,tayah,de lucia,210.0,eugenia street,electorat eoffice,maiden gully,4567,qld,19520703.0,1220730,0
ethan,greenhalgh,,crozier circuit,richon,rosebrook,4151,qld,19400702.0,6431791,ethan,nguyen,1932.0,lodder lpace,tobr uk hse,clayfield,4405,tas,19971105.0,1140575,0
adam,coleman,14.0,ewart street,camrai village,springfield,2795,nsw,19491108.0,6543835,adam,carbone,16.0,warrai place,cheroke e vlge,elizabeth south,3150,qld,19820611.0,2023828,0
,dunnicliff,97.0,banfield street,milton,,2116,vic,19130108.0,6220830,,ongkieko,,murray crescent,,corrimal,6165,qld,19740627.0,8899763,0
portia,weaver,34.0,angophora street,knox retirement village,parramatta,3192,vic,19560218.0,7422879,portia,weaver,34.0,angophor astreet,knox retirement village,parramatta,3192,vic,19560218.0,7422879,1
caitlin,coxon,144.0,evergood close,blue gum park,smithfield,3109,act,19160701.0,4213502,caitlin,coxaon,144.0,evergood mclose,blue gum park,smithfield,3109,act,19160701.0,4213502,1
,genovese,6.0,axon street,aprt 504,march,3166,qld,19681013.0,2402512,,tarquinio,24.0,lindclose,,frankston,4505,vic,19650419.0,4738861,0
jordan,paterson,63.0,grono place,tarqua,orange,2607,nsw,19420219.0,2467275,jordan,nerry,41.0,anderson street,wilag,moorabbin,2097,vic,19880826.0,2009434,0
