given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
madison,bradshaw,13.0,jardine street,nan,norwood,2335,sa,19490115.0,8836136,hayden,ayrse,22.0,castleton crescent,kojonolokna hills,leongatha,2103,sa,19970513.0,1502848,0
jack,campbell,282.0,osburn drive,white patch,carrara,6030,vic,19881003.0,2172403,hayley,morrion,35.0,kirkwood crescent,vill a 183,sprin gwood,2396,vic,19000326.0,8113043,0
amelia,millar,2.0,coglin place,hmas cerberus,burrum heads,4157,vic,19361218.0,5479529,lachlan,clarke,19.0,bunbury street,kildurham,nhill,3850,nsw,19180501.0,2371774,0
tyler,pascoe,4.0,blackburn street,henry kendall bayside,ivanhoe,4221,vic,19740817.0,8405094,richard,roc he,104.0,beaurepairecrescent,the garden village,cranbourne,3073,wa,19870624.0,5733343,0
amelia,graham-jones,5.0,mcgivern crescent,australian fair west,new town,2163,act,19000619.0,5013227,bailey,petresn,1.0,niok da,goodmanstreet,plymptonsouth,4214,nan,19090102.0,3547315,0
mhary,matthews,26.0,foxall street,upper yarrowitch,newcastle,6525,vic,19540913.0,2983255,angus,tiller,1.0,nan,rosetta village,chelsea hieghts,3020,wa,19170409.0,8677579,0
kelsey,ovens,63.0,biraban place,eventide homes,st albans,2470,act,19891030.0,4850685,maya,webb,927.0,woodful lloop,birubipoint caravn park,tolland,4300,qld,nan,1365038,0
tara,wiseman,33.0,goldner circuit,underwood,monbulk,3816,qld,19581001.0,9605792,charles,hurkett,77.0,pocket avenue,craigview grove,rowvikle,3223,sa,19841222.0,9205765,0
willow,gowling,39.0,hannaford street,the briar patch,moama,4570,vic,19690421.0,9703540,jade,collinson,58.0,temperley street,dialbo,craigmore,6722,wa,19660421.0,7496155,0
koben,ryan,17.0,foreman place,st francis village,eastwood,3101,nsw,19341114.0,2722891,destynii,hope,24.0,villa 3,barungastreet,st peters,4061,nsw,19210430.0,6586290,0
emiily,millar,3.0,river street,canberra hse,nunawading,3340,vic,19380318.0,2340041,matthw,tombleson,37.0,blackett xrescent,coranidrk,broken hill,3046,nsw,19410702.0,4972641,0
madeline,hage,15.0,banner street,oreel,bayswater,4860,nsw,19640929.0,6710911,nan,blae,142.0,forbesastreet,white lodge,mill park,3133,sa,19990618.0,5715448,0
mikayla,webb,144.0,cooling place,nan,norwood,800,sa,19880716.0,8983519,chelsie,priest,99.0,companion crescent,ashbank,torquay,2325,vic,19691018.0,9141369,0
lucy,hassall,84.0,kulgera street,orchid square,northbridge,2580,nsw,19150908.0,8007265,laylau,chammen,9.0,discovery street,st francis vlge,keilor dast,5352,nsw,19550123.0,4055724,0
trinity,spark,60.0,larkin close,moline village,mulgrave east,3023,nsw,19470913.0,5766734,clain,jeffries,12.0,thurlow pl ace,hawksview,mount ekiza,3930,qld,19060706.0,8877669,0
maddison,goldsworthy,3.0,cavill close,killanoola,manly vale,2258,qld,19820307.0,6557335,thomas,brittegn,43.0,andamooka street,parkfiled,pakenham,2845,nan,19230110.0,8983783,0
lachlan,mandry,3.0,richardson street,lake chatsworth,christies beach,2040,tas,19220410.0,1565982,caitlyn,campbell,39.0,amagula kavenue,delvasood,coolum beach,3714,qld,19930612.0,3516962,0
hannah,candida,48.0,santalum street,moorabee,nan,2030,vic,19210519.0,9787204,simone,clarke,105.0,lambriggstreet,nan,kirribilli,2765,nsw,19930504.0,6453396,0
channing,genovese,193.0,fernyhough crescent,cockatoo,clayton,7140,sa,19570424.0,4371940,thomas,mcauslan,14.0,trugani ni place,nan,bongaree,5064,nt,19801028.0,8944611,0
max,white,220.0,braund place,aprt 59,ferndale,3337,qld,19110220.0,5718630,revee,noble,7.0,finlaysonplace,nordal e farm,bellevue hill,4032,wa,19080324.0,7109523,0
hamish,chandler,9.0,eton place,allanvale,bribie island,2831,tas,19871001.0,3981694,tristan,lombrdi,3.0,morduant place,duck creek,kingaroy,4171,tas,19280422.0,8584160,0
nicholas,george,25.0,kambah vlge,casuarina shoppingsqre,fish creek,3585,nsw,19370405.0,8589026,zachary,coffye,21.0,fellows street,brigalow court,kariong,5301,qld,19240219.0,4912880,0
pia,chell,17.0,bayley street,youralla,nan,2614,qld,19400227.0,4770120,joshua,moody,15.0,el-woodaro,glover street,warren,2304,qld,19580620.0,9224762,0
kelsea,worsley,65.0,mackellar crescent,nan,hemmant,4208,qld,19990610.0,6206107,maddison,mahon,62.0,ellenborlugh street,brentwood vlge,east gordon,2224,qld,19381111.0,9648098,0
simone,meaney,105.0,lambrigg street,rowethorpe,kirribilli,2765,nsw,19930504.0,6453396,nan,thredgold,32.0,rivers street,oakdale ranch,mooloolaba,4715,vic,19250525.0,2372485,0
ryan,wehr,51.0,marconi crescent,lasswade,robertson,2165,qld,19990627.0,6787650,georgia,metaxiotis,15.0,augustus way,nan,tuart hill,3196,vic,19130627.0,5883327,0
jack,highet,26.0,mathieson crescent,nan,whittington,3064,vic,19650507.0,6260000,jenna,shjw,21.0,fincham crescent,nan,thornleigh,3111,vic,19060322.0,7681478,0
jack,mayman,65.0,hutchins street,the meadows,kinglake west,3260,vic,19900106.0,6187556,sara,schiansky,40.0,fullerton crescent,tabbzgong,llandilo,3020,nsw,19450822.0,4913489,0
alyssa,artis,44.0,mceachern crescent,nan,cabramatta,3064,qld,19220615.0,9906451,liam,whiitn,33.0,hargrave street,buderim emadows,nan,7250,nsw,19141012.0,6654477,0
zali,shadbolt,1.0,yass road,rowethorpe,cronulla,3911,vic,19771225.0,7247098,isabella,campbell,101.0,clive steele avenue,old hillside,nan,2913,qld,19890501.0,2285966,0
callum,lowry,52.0,hallen close,ruglen,picnic point,2000,vic,19971123.0,3987913,crosswell,cooper,8.0,ranken place,yambira,nan,3018,tas,19430711.0,5534097,0
isaac,clarke,17.0,leonard close,highpoint,bundaberg north,7310,tas,19361017.0,4346183,hannah,white,2.0,gallagher xtreet,fairholme,aspendale gardens,2580,nsw,19840119.0,9007134,0
mia,pascoe,54.0,dwyer street,connemara,leichhardt,2015,sa,19080310.0,5423895,katarski,jack,3.0,lange plae,rose gardens touri,rowville,3975,qld,19320704.0,8850947,0
olivia,trent,10.0,manity court,nan,campbelltown,6220,nsw,19740731.0,4392378,holly,rees,357.0,granny flt,palmer street,naifne,2387,nan,19700911.0,3352448,0
lachlan,ricard,40.0,maribyrnong avenue,tintagel,bowral,4158,sa,19471123.0,6012074,betn,webb,10.0,doutney place,parkridge villa,leichhardt,2808,vic,19761122.0,2024248,0
charlotte,wilde,28.0,diamond street,warwarick,werrington,2220,qld,19001117.0,4847191,kylee,pennell,1.0,nan,nan,nan,4570,sa,19000320.0,4020041,0
ruby,clarke,368.0,jackie howe crescent,parklands village,bundaberg,2030,nsw,19250903.0,9905791,logan,bisgop,1.0,tanj il loop,nan,nan,2113,qld,19000423.0,1698144,0
erin,clarke,96.0,teakle place,nan,granville,3040,wa,19170313.0,8285633,sophie,fitzpatrick,5.0,longerenong street,briars meadows,kincumber,2450,nws,19200110.0,7018366,0
matilda,ryan,5.0,bogan place,aldinga beach court,bethania,2259,nsw,19401012.0,6674118,indiana,goode,4.0,galibal street,antanoff ' south,east maitland,3183,vic,19420313.0,5641889,0
hana,nirta,113.0,mcburney crescent,caroona village,glen eden,4814,qld,19940127.0,5873271,ruby,masoin,18.0,hurleystreet,openshaw,samford valley,3805,qld,19420728.0,1047066,0
destynii,humphreys,41.0,black street,najee,carrum,4066,nsw,19810924.0,6458612,wilson-wheeler,emiily,1.0,woolcock street,willandra,taree,2477,qld,19610625.0,8119451,0
isobel,campbell,17.0,nan,yarrandoo,strathalbyn,2770,vic,19470921.0,3176931,lara,bennier,16.0,mccormack street,yalgora,dandenong north,4122,nsw,19490422.0,4493543,0
jordyn,buttrose,10.0,argyle place,nan,frankston,6016,qld,19350206.0,8629525,georgia,green,18.0,dexter street,kareela,mount riverview,3137,qld,19341195.0,5788426,0
isabelle,bullock,10.0,companion crescent,eden park,henty,2212,nsw,19920128.0,5801283,michael,stagoll,65.0,tyson street,bypass road,cleveland,3150,nsw,19190521.0,3941516,0
william,gohl,378.0,charlton street,toomba,kellyville,3058,vic,19030711.0,1291827,lachlarn-john,nan,26.0,taberm ory,officer crescent,nambour,2395,nsw,19250213.0,5785896,0
taylah,leaver,5.0,newlop street,moreton,florey,3150,nsw,19130703.0,3251860,kiandra,waller,41.0,stobiew place,west r oad,rossmoyne,4071,vic,19480123.0,5588564,0
chelsea,nan,18.0,crisp circuit,walnut grove estate,seven hills,6311,nsw,19040215.0,4172892,butt,thomas,22.0,medworth crescent,stoneield,booval,4502,nt,19630219.0,2894576,0
taylah,weller,12.0,eaglemont retreat,kalang,point vernon,2066,nsw,19111122.0,4433270,mitchell,trowse,22.0,boolee street,john flynn medical centre,malvern,4350,vic,19640225.0,4579159,0
sonja,clarke,7.0,carrington street,la rhune,coolaroo,6317,vic,19750513.0,4511800,zali,walppkle,25.0,william husson crescent,muralappi,brymaroo,3147,wa,19550701.0,9616019,0
matilda,ryan,5.0,bogan place,aldinga beach court,bethania,2259,nsw,19401012.0,6674118,ella,wedmaier,7.0,duffystreet,glenpora,eulxo,2020,qld,19410630.0,4581426,0
ruby,rollins,28.0,flinders way,lazy acres,kilsyth,3775,nsw,19941004.0,3535164,jayden,nan,3.0,o'sulliva street,the lodge,mount evelyn,2169,nsw,19331220.0,7133986,0
marianne,adair,24.0,mcclelland avenue,colefield cvn park,warrandyte,2217,nsw,19910122.0,7356931,sach,henry,69.0,hawdon street,logie brae,harbord,2141,nsw,19051226.0,7123737,0
joanna,george,12.0,bage place,nan,wantirna,2224,qld,19530111.0,6565352,macormack,wilkins,30.0,sextonstreet,raaf,buxton,4123,vic,19081026.0,4698984,0
hannah,campbell,8.0,cowan street,plantation caravn park,casino,2113,qld,19531029.0,3909212,benjamin,yen,43.0,kambalda crescent,elmvood,findon,3807,nsw,19850706.0,7843492,0
rosie,plane,29.0,porteous crescent,nan,black rock,2062,vic,19630926.0,7058877,cameron,virgeln,51.0,wilson crescent,blacklead farm,stephens,2110,nt,19400306.0,5118228,0
michael,ryan,114.0,hopetoun circuit,oakdene,sussex inlet,3020,qld,19130121.0,4530596,kyle,block,45.0,erldunda circuit,mt warrigalretrmnt vlge,greenacre,2614,nsw,19740424.0,4380571,0
imogen,alderson,nan,merriman crescent,nan,kinross,2528,nsw,19041128.0,2621570,lachoa,vero,266.0,bursaria street,terara house,macgregor,4100,nsw,19830103.0,8260739,0
zachary,ebert,16.0,rounsevell street,lake road,mount gravatt,2112,nsw,19261127.0,1502014,nan,white,24.0,maddock place,headland garden,roseb ay,2380,qld,19560217.0,8506035,0
joshua,clarke,4.0,ragless circuit,nan,sylvania,3136,vic,19110818.0,5574844,elana,camepbell,12.0,crisp circuit,broughton brook,midland,2768,qld,19720103.0,9877933,0
tess,battisson,1.0,wyola place,malsah,west wollongong,2210,nsw,19230918.0,3152618,kai,widdowson,33.0,frost place,kemminu pfarm,burpengary,6707,qld,19731112.0,8416181,0
zane,dixon,29.0,boustead circuit,baranbali,redbank plains,4740,nsw,19590328.0,3308725,gillian,kaddtaz,72.0,ivo whittonc ircuit,woodport hostel,murdcoh,2026,qld,19650426.0,3271990,0
hamish,beams,102.0,mackellar crescent,rosedale,nan,3340,nan,19670422.0,5928661,patrick,wasley,8.0,barwon srteet,llangollen,winmalee,2538,nsw,19860312.0,9514502,0
julia,jolly,59.0,a'beckett street,millwood,slacks creek,3020,nsw,19820807.0,7111279,jemima,belperio,12.0,strehlow place,rainbo w ridge,margaret river,4021,nsw,19281001.0,3997984,0
nan,della-verde,113.0,rivett street,glen eden,figtree,2606,vic,19010217.0,8895395,talia,feast,21.0,dorrit bladk crescent,the stociyards,burnie,6063,vic,nan,8284375,0
emiily,nguyen,215.0,lelta place,yanalah,nowra,4179,qld,19091124.0,2809085,sophue,tertipis,23.0,walker cr escent,furlough house,brighton-le-sands,2304,nsw,19490918.0,7755180,0
jack,mercorella,10.0,batman street,mannibadar,biggera waters,2290,nsw,19290508.0,2441074,sophie,furze,590.0,goldsborough close,nan,carina heights,3171,qld,19110502.0,4765244,0
joanna,needham,238.0,britten-jones drive,gogulger stock,albury,5081,qld,19760124.0,3761376,lauern,ryna,115.0,jardine street,adelaide dental hospital,broadbeach waters,4207,vic,19420313.0,6195510,0
megan,bishop,7.0,maltby circuit,buena vista,naremburn,4740,qld,19920611.0,9512945,erin,kunoht,131.0,wyselaskie circuit,nan,wendoryee,6107,vic,19340721.0,4791842,0
adam,hingston,249.0,jacka crescent,upper ross medical centre,kotara,2195,nsw,19980612.0,4962368,thomas,berrgy,71.0,plowman place,linto n vlge,daw park,5159,nsw,19010714.0,5972566,0
kierra,ninchich,57.0,mehaffey crescent,old farm,northmead,3028,wa,19530926.0,2089030,maddison,grubb,16.0,kambalda crescent,villz 2,bonnyrigg,4455,vic,19621019.0,8441303,0
lucas,portlock,2.0,mccaw place,greenwood,ascot vale,2680,nsw,19960325.0,7237519,zoe,paterson,8.0,chauncy crescent,heritage est,blayney,6602,qld,19930912.0,2580670,0
luke,karlsen,119.0,mckenzie street,moonee beach caravan park,woodlands,2224,vic,19060425.0,3838005,hannah,white,2.0,gallagher xtreet,fairholme,aspendale gardens,2580,nsw,19840119.0,9007134,0
rachel,karlovcec,1.0,alberga street,nan,eastern heights,3228,nsw,19250114.0,9531225,jessica,robson,337.0,marcus clarke street,macar thur,vermont,3429,nsw,19790719.0,6293706,0
emiily,boyle,25.0,bega flats,rose valley farm,loganlea,3141,wa,19220406.0,5388162,breeanne,ryan,183.0,waterman place,horse aprk,cronula,3976,nsw,19620814.0,8743474,0
lauren,perre,22.0,castleton crescent,karinyah,orange,7250,qld,19820605.0,6993851,keira,lowae,15.0,morant circuit,wilding,warburton,4061,qld,19900523.0,4044906,0
lauren,perre,22.0,castleton crescent,karinyah,orange,7250,qld,19820605.0,6993851,jordan,tuckwell,23.0,harricks xrescent,holloway haven,atherton,4560,vic,19730908.0,6240898,0
luke,dinh,80.0,rischbieth crescent,rooganore,spearwood,4053,vic,19120208.0,7700965,nan,hyland,86.0,flanagan street,dodonae a wing,boyup brook,2032,qld,19840708.0,5354642,0
jasmine,blake,7.0,mugga way,mannibadar,east fremantle,5008,vic,19531120.0,3831376,gabrielle,fargahry-tolba,11.0,northbourne avenue,pia place,st georges basin,2011,vic,19640424.0,7326839,0
jett,white,37.0,marshall street,avalind,greenacre,3500,wa,19141102.0,4115932,thomas,macphail,33.0,rose scott circuit,glen ayre,stuart,4000,vic,19021218.0,6364936,0
jordan,godfrey,19.0,bettington circuit,raycroft,merricks north,2229,nsw,19380817.0,1480851,micaela,harrington,9.0,burrinjuckcrescent,loc n 2192,condellwpark,3175,nsw,19971004.0,2317861,0
andrew,madigan,69.0,blackwell circuit,tintagel,dianella,820,sa,19871218.0,5096835,timothy,mathews,2.0,blandon place,harrowvsle,mill park,3184,nsw,19560930.0,6083907,0
