given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,gibb,35,tenison-woodsr circuit,the j gms,adamstown heights,6333,nsw,19090430,3651633
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
benjamin,lovelock,1,tanumbirini street,apmnt 203,willetton,4570,nsw,19980628,6282406,benjamin,bellon,11,croton street,omaru,artarmon,4406,nsw,19120805,3089666
isabella,tinsley,181,chewings street,sherwood,maiden gully,5039,vic,19620924,7350425,isabella,block,114,petterd street,westella,st albans,6149,,19111028,2274501
zane,white,15,mcwhae circuit,westmead accom,concord west,2032,vic,19770208,9225108,zane,webb,4,mackinolty street,mayflower rtrmnt vlge,ganmani,6018,vic,19190523,1897310
noah,reid,46,truscott street,mckail,dulwich hill,2049,qld,19421216,9564581,noah,whiet,804,caladenia street,sec 437,molong,2119,wa,19041018,9864936
noah,clarke,608,bindel street,anstee court,boggabri,5158,nsw,19540920,8260965,noah,whiet,804,caladenia street,sec 437,molong,2119,wa,19041018,9864936
connor,godfrey,50,centaurus street,locn 5940,o'sullivan beach,2216,qld,19010823,7376725,connor,tromp,8,eildonplace,willtarny,east maitland,7440,qld,19280129,8096262
,robson,10,flegg crescent,kuliup,woongarrah,3149,nsw,19880603,6084403,,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,araujo,225,nepean place,kinross,lake cathie,2302,vic,19140124,5500784
lachlan,rawlings,49,lochleigh,whispering pines,coonamble,2019,nsw,19261022,9145105,lachlan,rawlibs,49,lochleugh,whispering pines,coonamble,2089,nsw,19261022,9145105
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187
joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,6454105,joshua,webb,63,decker place,docker rivercommunity,morphettville,2420,nsw,19690619,9196315
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533
georgia,rees,40,maclaurin crescent,spring creek,fullarton,6233,nsw,19210305,5595588,georgia,glover-smith,34,howse street,,rab,5340,wa,19790813,8934327
joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,19721018,7955748,joshua,stubx,50,bimbiangc rescent,rosetta ivllage,holswirthy,3071,nsw,19580212,4826701
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,white,72,lambrigg street,kelgoola,broadbeach waters,3159,vic,19620216,9731855
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,white,72,lambrigg street,kelgoola,broadbeach waters,3159,vic,19620216,9731855
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
jessica,mayer,25,dugan street,willandra,mittagong,6056,sa,19340201,3346974,jessica,dixon,161,fred johns crescent,,eaglehawk,3556,qld,19281113,6245244
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,braithwaite,29,tweed p lace,brileen,cabramatta,5051,vic,19740815,8052512
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,webb,63,decker place,docker rivercommunity,morphettville,2420,nsw,19690619,9196315
riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,vic,19090429,7355856,riley,godfrey,300,clift ck,the lodge,oakwood,3108,nsw,19451121,3493339
joshua,pringle,13,fred johns crescent,glenview,elwood,2640,sa,19720127,9406321,joshua,stubx,50,bimbiangc rescent,rosetta ivllage,holswirthy,3071,nsw,19580212,4826701
harrison,capurso,7,erldunda circuit,bellbird ctge,jan juc,6233,vic,,4086030,harrison,snellin g,50,sproule circuit,yalkara,emerald,4216,nsw,19410412,1348871
benjamin,liccioni,2,golden grove,jestarlei,lavington,2042,wa,19100711,2197467,benjamin,bellon,11,croton street,omaru,artarmon,4406,nsw,19120805,3089666
benjamin,hartland,40,ranken place,sorrento,collie,3799,qld,19080206,7081220,benjamin,donaldson,34,dunoon street,westwood homestead,st algans,2611,nsw,19331111,2281465
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,reid,11,,green lzgoon,camp hill,6026,vic,19671214,5483640
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,mason,19,sheaffe street,,burwood,2507,nsw,19461025,4113226
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,capel,1,clive steele avenue,spq acmp,woonrara,4207,qld,19090522,4415928
benjamin,clarke,122,archibald street,locn 1487,nickol,2535,nsw,19010518,1978760,benjamin,lowe,45,macrossan crescent,,kingdton,6075,nsw,19250611,5513136
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,1533923,benjamin,moody,43,fernyhough crescent,huongold,port augusta,3192,vic,19180612,4887764
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
thomas,carbone,94,summerville crescent,flt 45,geraldton,2229,vic,19070308,3226668,thomas,kinnane,10,centaurus street,water vew,bondi junction,2010,nsw,19700907,9269196
jessica,dixon,161,fred johns crescent,the swamp,roxburgh park,3556,qld,19281113,6245244,jessica,dixon,161,fred johns crescent,,eaglehawk,3556,qld,19281113,6245244
joshua,petersen,8,wybalena grove,lyra park,surry hills,3162,vic,19420824,4895026,joshua,capel,1,clive steele avenue,spq acmp,woonrara,4207,qld,19090522,4415928
joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,19721018,7955748,joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614
connor,moscarda,20,lindsay street,shepherds hill,mount beauty,2319,nsw,19010223,1065886,connor,camp,29,egerton close,gwandalan,riverhilts,2170,vic,19190905,5237893
ruby,grobler,128,lonsdale street,tallinga park,newbridge,2105,qld,19190104,5332690,ruby,warrior,5,ironbarkcrescent,margaret river carvn park,penshurst,3075,vic,19550812,5870334
nicholas,leung,40,moorhouse street,two tree hill,boondoola,3732,vic,19951115,7261271,nicholas,mcneill,16,,tunis,bacchus marsh,6019,nsw,19800829,5215850
kane,ahier,47,farncomb place,glenhurst,,3083,qld,19031104,8076744,kane,carbone,54,penrhyn street,solander centre,deer park,4030,sa,19960506,9098940
olivia,trigwell,13,waldock street,wilpena,new lambton heights,3194,vic,19571126,9991752,olivia,thorpe,19,pudneystreet,parry h ouse,mount evelyn,2619,vic,19430807,3939861
lachlan,rawlings,49,lochleigh,whispering pines,coonamble,2019,nsw,19261022,9145105,lachlan,white,1,atherton tsreet,the mews royal hotel bldg,alexandra bridge,3390,vic,19810422,5260328
michael,drechsler,5,hone place,,newcomb,3032,qld,19291014,3902049,michael,shepherd,39,pinkerton c ircuit,millwood,camira,3378,nsw,19301008,3537158
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,melham,21,kingscote crescent,kerry street,elizabeth vale,2663,wa,19911210,5648275
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,crouch,94,forbes street,,johnsonville,2327,sa,19700216,4813329
joel,reid,7,pearson street,lytton,floreat,3153,qld,19051112,1523622,joel,badegr,47,blamey crescent,brookfields,broadford,4807,qld,19791106,2164581
lachlan,hage,34,ballumbir street,opal cove resort,newmarket,6061,nsw,19850523,3230581,lachlan,pacey,15,wilshire street,cypress mgarden,wendouree,2770,,19711111,4723081
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,neville,71,pleasance place,macarthur place,wanniassa,3875,qld,19730731,5739885
tanar,saccardo,43,irvine street,anzac house (cnr archer s street,canterbury,3690,wa,19100526,7953897,tanar,huxley,,ashcroft crescent,kilfescle,bray aprk,2064,vic,19700512,5171988
joshua,petersen,8,wybalena grove,lyra park,surry hills,3162,vic,19420824,4895026,joshua,crouch,94,forbes street,,johnsonville,2327,sa,19700216,4813329
luke,wardle,30,holyman street,middle ridge medical centre (cnr ramsay,kirwan,3073,wa,19500525,9974023,luke,boyle,1525,fawkne rstreet,,roxburgh park,2343,nsw,19701125,2420976
benjamin,hartland,40,ranken place,sorrento,collie,3799,qld,19080206,7081220,benjamin,campbell,159,corrigan yplace,,thornbury,2300,nsw,19870227,4459447
jessica,fabel,28,hilder street,mount beauty,glenlee,2116,sa,19140806,5932691,jessica,dixon,161,fred johns crescent,,eaglehawk,3556,qld,19281113,6245244
joshua,coleman,16,mosman place,aralee,kooyong,3431,nsw,19501024,2640319,joshua,moody,15,el-woodaro,glover street,warren,2304,qld,19580620,9224762
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
hayley,mortlock,19,augustus close,ronobri,tallebudgera,2630,nsw,19110617,9154301,hayley,bishop,9,lindsaystreet,lindis faime,blackmans bay,4163,wa,19210517,3857962
benjamin,clarke,122,archibald street,locn 1487,nickol,2535,nsw,19010518,1978760,benjamin,campbell,159,corrigan yplace,,thornbury,2300,nsw,19870227,4459447
mitchell,mason,5,hurtle avenue,lucerne park,telangatuk,4812,qld,19130817,9172315,mitchell,flannery,2,wilkins street,paradise syprings,toowoomba,5088,vic,19581016,8712141
connor,arda,35,fenner street,summervale,south melbourne,2530,wa,19750417,9721130,connor,camp,29,egerton close,gwandalan,riverhilts,2170,vic,19190905,5237893
timothy,modystach,32,julia flynn avenue,rcg centre,charlestown,4655,vic,19671125,2430623,timothy,haythorpe,21,grund p lace,brentwood vlge,blackmans bay,2603,vic,19200714,2476740
ruby,reid,6,tanumbirini street,templemore,bundaberg,3134,qld,19490517,4966992,ruby,mason,24,cruikshank street,yammacoona,tarragindi,5606,vic,19090627,4941274
john,homann,27,sid barnes crescent,king river palms c8,cranbourne,5159,nsw,19461027,4896844,john-paul,pra,22,david street,greater ce ss vill,croydon north,4737,wa,19800811,8703902
nicholas,wheatley,64,cox street,venture,fennell bay,4740,qld,19681129,6155450,nicholas,scantlebury,25,kambah vlge,casuarina sh oppingsqre,fish creek,3585,nsw,19370405,8589026
mitchell,mason,5,hurtle avenue,lucerne park,telangatuk,4812,qld,19130817,9172315,mitchell,dent,,partridge street,elizabeth residential village,ballarat,2285,vic,19900531,1162702
mikayla,malloney,37,randwick road,avalind,hoppers crossing,4552,vic,19860208,7207688,mikayla,nguyen,11,jaunceyucourt,karinyag ardns,helidon,5197,nsw,19030122,3964863
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
jessica,weller,318,bishopbourne court,lismore road,padstow,2191,nsw,19600919,4837774,jessica,kusdek,,limestone avenue,jinchulla,lavington,4519,qld,19721222,3705755
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,gibb,35,tenison-woodsr circuit,the j gms,adamstown heights,6333,nsw,19090430,3651633
ruby,clarke,368,jackie howe crescent,parklands village,bundaberg,2030,nsw,19250903,9905791,ruby,bellchambers,298,winnecke street,siesta caravn park,mosman,2330,tas,,2384529
ethan,hipkiss,7,lempriere crescent,spring creek,woolgoolga,3199,qld,19500912,3524910,ethan,marson,40,catumbel lodge,tinaroo place,hoppers crossing,2035,vic,19100123,9238396
zachariah,steed,24,hamelin crescent,surfers hawaiian,preston beach,4214,nsw,19300502,9340008,zachariah,nadels,68,,laureldale,northgate,2133,qld,,9143498
,muthukuda,11,waratah street,keira,thornlie,0820,vic,19890328,5670243,,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,stubx,50,bimbiangc rescent,rosetta ivllage,holswirthy,3071,nsw,19580212,4826701
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,monda,54,burrinjuck crescent,,aubrun,3345,nsw,19041125,9464025
isabella,tinsley,181,chewings street,sherwood,maiden gully,5039,vic,19620924,7350425,isabella,spikcer,,lumeah street,lochinvah,boyne island,2780,wa,19130404,1159942
lauren,hilton,16,grayson street,glenmore,corio,2645,wa,19150223,5611249,lauren,hilton,71,grayson street,glenmore,coroi,2645,wa,19150223,5611249
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,reidz,46,dooring street,windalea,dandeno ng north,3582,nsw,19130312,1322845
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,1533923,benjamin,campbell,159,corrigan yplace,,thornbury,2300,nsw,19870227,4459447
joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,19721018,7955748,joshua,stalney,1,weddin circuit,rocklands,cabraatta,7320,nsw,19381229,5425400
benjamin,clarke,122,archibald street,locn 1487,nickol,2535,nsw,19010518,1978760,benjamin,morr ison,16,kingscotecrescent,malanda orchard,sanctuary point,0280,nws,19761231,3201927
georgia,rundle,3,hicks street,blackbutwood,orange,3078,nsw,19910726,4860814,georgia,glover-smith,34,howse street,,rab,5340,wa,19790813,8934327
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,noble,10,costello circuit,the manor braeside,bicton,2290,qld,19710327,9357658
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,1533923,benjamin,morr ison,16,kingscotecrescent,malanda orchard,sanctuary point,0280,nws,19761231,3201927
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,webb,25,toolambi street,villa 235 henry kendall vlge,helens hill,6166,sa,19470715,1945645
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
ethan,paine,111,galloway street,hvd cottage,largs,4680,vic,19190329,5356894,ethan,marson,40,catumbel lodge,tinaroo place,hoppers crossing,2035,vic,19100123,9238396
mitchell,wheatley,63,embling street,,mongarlowe,2795,qld,19641102,3016745,mitchell,green,,palmer street,,lake heights,2430,qld,19250116,7447942
joshua,petersen,8,wybalena grove,lyra park,surry hills,3162,vic,19420824,4895026,joshua,avdic,8,archdal l street,nioa,nunawading,3134,nsw,19200415,9571448
georgia,simmonds,16,hurley street,iowanna,mittagong,2100,nsw,19230413,5714719,georgia,browne,19,arthurcircle,aminya hmes,murrabit,2010,vic,19960923,9940324
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,reid,11,,green lzgoon,camp hill,6026,vic,19671214,5483640
amy,jessup,27,,sect 12,gawler east,2824,vic,19461007,9991046,amy,drzezdzon,11,magennis place,se 161,ashford,6100,vic,19000219,4126935
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,monda,54,burrinjuck crescent,,aubrun,3345,nsw,19041125,9464025
jessica,mayer,25,dugan street,willandra,mittagong,6056,sa,19340201,3346974,jessica,beam,19,glenubrn,griffiths street,toorak,5540,nsw,19040321,7839655
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,neville,71,pleasance place,macarthur place,wanniassa,3875,qld,19730731,5739885
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,babic,1,totterdell street,cooingale,st albans,4060,sa,19450493,3346822
benjamin,capel,177,clive steele avenue,spq camp,woongarra,4207,qld,19090522,4415928,benjamin,green,12,woolner circuit,mirani,reynella,2905,sa,,8195933
,robson,10,flegg crescent,kuliup,woongarrah,3149,nsw,19880603,6084403,,reidz,46,dooring street,windalea,dandeno ng north,3582,nsw,19130312,1322845
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
bridget,bordin,27,froggatt street,villa 3,nhill,2016,sa,19290813,9532722,bridget,hand,210,bunton place,flt 1 0,parkinson,2705,nsw,19391228,3815665
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
nicholas,beattie,7,edmondson street,goughs bay,modbury,2036,wa,19170811,3374275,nicholas,mcneill,16,,tunis,bacchus marsh,6019,nsw,19800829,5215850
ruby,clarke,368,jackie howe crescent,parklands village,bundaberg,2030,nsw,19250903,9905791,ruby,warrior,5,ironbarkcrescent,margaret river carvn park,penshurst,3075,vic,19550812,5870334
jessica,weller,318,bishopbourne court,lismore road,padstow,2191,nsw,19600919,4837774,jessica,beam,19,glenubrn,griffiths street,toorak,5540,nsw,19040321,7839655
nicholas,hassall,8,laughton street,anzac house (cnr archer s street,highton,3028,sa,19040622,3632388,nicholas,scantlebury,25,kambah vlge,casuarina sh oppingsqre,fish creek,3585,nsw,19370405,8589026
benjamin,paine,277,,rose lane centre,glengowrie,2046,vic,19531018,3571554,benjamin,bellon,11,croton street,omaru,artarmon,4406,nsw,19120805,3089666
,leslie,925,carpenter close,,canterbury,2340,vic,19950608,2438058,,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,araujo,225,nepean place,kinross,lake cathie,2302,vic,19140124,5500784
connor,godfrey,50,centaurus street,locn 5940,o'sullivan beach,2216,qld,19010823,7376725,connor,arda,35,,summervale,port macquarie,2530,wa,19750417,9721130
luke,karlsen,119,mckenzie street,moonee beach caravan park,woodlands,2224,vic,19060425,3838005,luke,hursey,23,turriffstreet,inishmore,port franklin,4017,lqd,19220923,1219514
luke,wardle,30,holyman street,middle ridge medical centre (cnr ramsay,kirwan,3073,wa,19500525,9974023,luke,paterson,80,rischbieth crescent,rooganore,spearwood,4035,vic,19120208,7700965
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,lowe,15,patton place,redlands,tarcutta,4705,sa,19120201,7132911
sophie,wynne,25,leahy close,box range,beechboro,2340,wa,19940105,5948897,sophie,ballantyne,32,solomon crescent,vill a 3,whittington,3223,nsw,19111219,8261379
lachlan,plumb,14,garling street,brentwood vlge,julatten,4217,vic,19550313,2243015,lachlan,rawlibs,49,lochleugh,whispering pines,coonamble,2089,nsw,19261022,9145105
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,arribas,30,nicholas street,dangaroo park,kirwan,4086,nt,19800502,7705455
andrew,simmonds,9,blackman crescent,ra 23012,ashgrove,2204,nt,19131226,1378126,andrew,wang,9,barrington crescent,summe rhill,orford,2795,nsw,19260203,4852197
riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,vic,19090429,7355856,riley,lamprey,22,embleystreet,,hinchinbrook,3199,vic,19851029,8710851
michael,maynard,132,rogers street,leisure living vlge,pooraka,2144,nsw,19570508,3096389,michael,daech,55,batman street,rockview,salisbury east,3523,nsw,19130907,9846815
samuel,eglinton,17,tanumbirini street,birks harbour,raymond terrace,2176,vic,19690927,1843263,samuel,rudd,46,powlett street,,kingston,3453,sa,19580819,7309587
joshua,akot,8,edmunds place,villa 18,dapto,6071,vic,19010703,3188786,joshua,stubx,50,bimbiangc rescent,rosetta ivllage,holswirthy,3071,nsw,19580212,4826701
sophie,mason,20,johnson place,mt providence hostel,hope valley,6056,wa,19580507,9799282,sophie,au,26,pelham close,locn n192,sandy bay,3192,vic,,4507512
luke,mcphie,20,wheadon street,beltunga,christmas creek,6058,nsw,19110123,8869942,luke,paterson,80,rischbieth crescent,rooganore,spearwood,4035,vic,19120208,7700965
joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,6454105,joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614
hannah,reid,21,bisdee street,tall pines,malvern,2478,qld,19840208,1762901,hannah,white,2,gallagher xtreet,fairholme,aspendale gardens,2580,nsw,19840119,9007134
benjamin,coleman,12,canopus crescent,,port kembla,2795,qld,19010422,1651755,benjamin,campbell,159,corrigan yplace,,thornbury,2300,nsw,19870227,4459447
nicholas,matson,17,stephen street,taylors creek bridge,cowell,2454,vic,19990419,3182512,nicholas,huxley,12,biala place,c w v,anglsea,3109,nsw,19921105,6501674
joshua,petersen,8,wybalena grove,lyra park,surry hills,3162,vic,19420824,4895026,joshua,webb,63,decker place,docker rivercommunity,morphettville,2420,nsw,19690619,9196315
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,reidz,46,dooring street,windalea,dandeno ng north,3582,nsw,19130312,1322845
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807,,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187
joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,6454105,joshua,arribas,30,nicholas street,dangaroo park,kirwan,4086,nt,19800502,7705455
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,melham,21,kingscote crescent,kerry street,elizabeth vale,2663,wa,19911210,5648275
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,araujo,225,nepean place,kinross,lake cathie,2302,vic,19140124,5500784
joshua,akot,8,edmunds place,villa 18,dapto,6071,vic,19010703,3188786,joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614
luke,wardle,30,holyman street,middle ridge medical centre (cnr ramsay,kirwan,3073,wa,19500525,9974023,luke,mccartyy,5,bandjalongcrescent,,north curl curl,2160,nsw,19521124,9203828
benjamin,paine,277,,rose lane centre,glengowrie,2046,vic,19531018,3571554,benjamin,lowe,45,macrossan crescent,,kingdton,6075,nsw,19250611,5513136
benjamin,everett,17,herron crescent,redhill,forrestfield,3550,nsw,19621023,2043392,benjamin,lowe,45,macrossan crescent,,kingdton,6075,nsw,19250611,5513136
isabella,spicer,19,lumeah street,lochinvah,boyne island,2780,wa,19130404,1159942,isabella,block,114,petterd street,westella,st albans,6149,,19111028,2274501
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
ruby,reid,12,judkins street,the willows,airds,4350,sa,19300620,8834327,ruby,warrior,5,ironbarkcrescent,margaret river carvn park,penshurst,3075,vic,19550812,5870334
alexandra,yiannoulis,159,archdall street,tall pines,rowville,3284,vic,19790913,7515259,alexandra,yiannoulis,159,archdall street,tall ipnes,rowville,3284,vic,19790913,7551259
,muthukuda,11,waratah street,keira,thornlie,0820,vic,19890328,5670243,,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
adam,tiller,13,westfield shoppingtown (next to medicare,sec 161,page,3128,vic,19410419,2449378,adam,ewald,,wentcher place,longstay caravn park,kempsey,5902,nsw,19180203,2268410
alana,mcgregor,8,chandler street,loughmore,blue rocks,5081,nsw,19841227,3230948,alana,manson,52,,vivigani,cloverdale,2118,vic,19460725,4207566
