given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B
samantha,paterson,8,kellick place,berri cottage hmes,belrose,6030,tas,19460814,7611475,samantha,nguyen,18,copeplace,strawberrmyfields,dover,6774,nsw,19090828,3519655
samantha,paterson,8,kellick place,berri cottage hmes,belrose,6030,tas,19460814,7611475,samantha,bellamy,123,hawkesbury crescent,bri stin,pallaar,2756,nsw,19091019,8779096
michael,webb,22,karrugang circuit,brentwood village,bokarina,2280,nsw,19571020,3226586,michael,bulmeoster,4,lewis luxton avenue,kiola,melton south,3101,nsw,19720805,7224448
michael,webb,22,karrugang circuit,brentwood village,bokarina,2280,nsw,19571020,3226586,michael,webb,22,karrugangdcircuit,brentwood village,bokarina,2280,nsw,19571020,3226586
michael,webb,22,karrugang circuit,brentwood village,bokarina,2280,nsw,19571020,3226586,michael,cheshire,117,william hudson crescent,menora,berkeley vale,3056,act,19330820,4812124
sophie,masolatti,67,lyndon street,locn 217,wynnum west,2022,sa,19320713,4414033,sophie,campbll,61,belconnen way,hazel hill,,2323,qld,19210520,9019644
logan,green,19,langdon avenue,villa 2,malvern east,3183,sa,19060101,8619374,logan,hazelk,57,chewings pstreet,,elsternwick,3350,nsw,19510911,9448381
harry,grosser,30,chambers street,lake road,albion park,4560,nsw,19420607,7537775,harry,matthews,1,dalmancrescent,timbara,leongatha south,2519,vic,19110203,4984322
michael,ryan,114,hopetoun circuit,oakdene,sussex inlet,3020,qld,19130121,4530596,michael,bulmeoster,4,lewis luxton avenue,kiola,melton south,3101,nsw,19720805,7224448
michael,ryan,114,hopetoun circuit,oakdene,sussex inlet,3020,qld,19130121,4530596,michael,webb,22,karrugangdcircuit,brentwood village,bokarina,2280,nsw,19571020,3226586
michael,ryan,114,hopetoun circuit,oakdene,sussex inlet,3020,qld,19130121,4530596,michael,cheshire,117,william hudson crescent,menora,berkeley vale,3056,act,19330820,4812124
luke,barisic,4,macarthur place,kurrajong,windsor,5345,nsw,19510612,6325283,luke,beattie,16,blinkhorn place,lucerneoark,corrimal,4118,act,19211118,5586410
luke,barisic,4,macarthur place,kurrajong,windsor,5345,nsw,19510612,6325283,luke,harrington,80,jaeger circuit,,hughes,4215,nsw,19340611,4560409
chelsea,blackwell,37,grounds crescent,c/o post office,emerald,4210,sa,19390203,6074956,chelsea,blackwell,37,grounds crescent,c/o post o ffice,emerald,4210,sa,19390203,6074956
chelsea,blackwell,37,grounds crescent,c/o post office,emerald,4210,sa,19390203,6074956,chelsea,miles,23,illawarra court,rosehill,greensborough,2204,qld,19950926,1751900
andrew,matthews,14,dexter street,caprice,nowra,6306,qld,19340330,7762803,andrew,white,12,sawtell vet hosptl & clnc,hyndes crescent,blair athol,6070,wa,19620801,6464292
andrew,matthews,14,dexter street,caprice,nowra,6306,qld,19340330,7762803,andrew,large,29,swainsonas treet,buena vista,bicton,6022,qld,,9892920
samuel,scamoni,56,daly street,bradshaw crt kirkbrae village,wahroonga,4020,nsw,19740814,6876315,samuel,matthews,42,ferdinand street,eaglerock,elwood,2049,nsw,19140402,4591377
samuel,scamoni,56,daly street,bradshaw crt kirkbrae village,wahroonga,4020,nsw,19740814,6876315,samuel,crofs,613,banjine street,kurrajong vlge,pengzin,2230,qld,19410531,4467228
jeremy,le messurier,20,daly place,emerald agrigultural college,san remo,4810,tas,19070627,7041684,jeremy,le messurier,20,daly place,emeraldagrigultural college,san remo,4810,tas,19070627,7041684
blake,smithson,31,cavanaugh street,holmleigh,canley vale,4170,wa,19550815,2675546,blake,coleman,160,schoales place,court units,berwick,5159,nsw,19930621,7188217
blake,smithson,31,cavanaugh street,holmleigh,canley vale,4170,wa,19550815,2675546,blake,crook,169,olympus way,glendower,clovely,3429,nsw,19001215,9317676
lauren,harrington,17,leibnitz place,rosetta village,granville,6066,vic,19550719,2207203,lauren,perrwe,22,castleton crescent,karinayh,oran ge,7250,act,19820605,6993851
lauren,harrington,17,leibnitz place,rosetta village,granville,6066,vic,19550719,2207203,lauren,white,53,collings street,wollumbi,pacificparadise,3041,nsw,19020813,9250255
lauren,harrington,17,leibnitz place,rosetta village,granville,6066,vic,19550719,2207203,lauren,jeffrues,9,endeavour street,,patonta,2910,wa,19850503,4934969
luke,hyrycz,12,mclachlan crescent,pines drive,burwood,4122,sa,19670909,2186299,luke,beattie,16,blinkhorn place,lucerneoark,corrimal,4118,act,19211118,5586410
luke,hyrycz,12,mclachlan crescent,pines drive,burwood,4122,sa,19670909,2186299,luke,harrington,80,jaeger circuit,,hughes,4215,nsw,19340611,4560409
emiily,bramble,7,collyburl crescent,arcadia,stratford,5087,vic,19290305,1960201,emiily,finlay,61,coranderrk street,,ulverstone,3043,vic,19070731,9964204
emiily,bramble,7,collyburl crescent,arcadia,stratford,5087,vic,19290305,1960201,emiily,boyle,25,bega fl ats,rose valley farm,loganlea,3141,wa,19220406,5388162
emiily,bramble,7,collyburl crescent,arcadia,stratford,5087,vic,19290305,1960201,emiily,excell,10,druittplace,tharlane,salisbury,3478,vic,19390713,5109979
emiily,bramble,7,collyburl crescent,arcadia,stratford,5087,vic,19290305,1960201,emiily,boulter,12,drevermsnn street,manil,currimundi,3030,nsw,19770628,4873584
hayley,tu,5,holland street,manresa,ventnor,5039,qld,19571024,3333835,hayley,moody,1,lambell close,solitaire,jones yill,3013,nsw,19831231,7465219
hayley,tu,5,holland street,manresa,ventnor,5039,qld,19571024,3333835,hayley,white,,medley tsreet,raymond terrace market place,regents park,2656,vic,19391111,6020101
hayley,tu,5,holland street,manresa,ventnor,5039,qld,19571024,3333835,hayley,burford,7,,kooyong,little mountain,4154,vic,19640509,6451932
hayley,tu,5,holland street,manresa,ventnor,5039,qld,19571024,3333835,hayley,stephenon,8,allawah flats,john flynn medical centre,willetton,3021,qld,19580408,5609345
hayley,tu,5,holland street,manresa,ventnor,5039,qld,19571024,3333835,hayley,geoer,7,fitzroy street,keonyrne,bayswater,5260,nsw,19830315,5417788
maya,bibby,40,monaro crescent,learning earth farm,deer park,3148,qld,19720418,1185491,maya,bruinewoud,274,warrego curcuit,palm lake resort,glenmore park,4350,qld,19810702,4054569
hayley,carmody,5,duigan street,aberglasslyn cottage,emerald,2321,act,19611012,1756595,hayley,moody,1,lambell close,solitaire,jones yill,3013,nsw,19831231,7465219
hayley,carmody,5,duigan street,aberglasslyn cottage,emerald,2321,act,19611012,1756595,hayley,white,,medley tsreet,raymond terrace market place,regents park,2656,vic,19391111,6020101
hayley,carmody,5,duigan street,aberglasslyn cottage,emerald,2321,act,19611012,1756595,hayley,burford,7,,kooyong,little mountain,4154,vic,19640509,6451932
hayley,carmody,5,duigan street,aberglasslyn cottage,emerald,2321,act,19611012,1756595,hayley,stephenon,8,allawah flats,john flynn medical centre,willetton,3021,qld,19580408,5609345
hayley,carmody,5,duigan street,aberglasslyn cottage,emerald,2321,act,19611012,1756595,hayley,geoer,7,fitzroy street,keonyrne,bayswater,5260,nsw,19830315,5417788
zoe,wastell,530,mount vernon drive,bandera,burwood,3350,vic,19981215,6868962,zoe,webb,19,macindoe zplace,,tennyson,2079,wa,19101217,1156023
michael,pestka,27,fisken crescent,tabbagong,seven hills,3204,nsw,19610803,4973970,michael,bulmeoster,4,lewis luxton avenue,kiola,melton south,3101,nsw,19720805,7224448
michael,pestka,27,fisken crescent,tabbagong,seven hills,3204,nsw,19610803,4973970,michael,webb,22,karrugangdcircuit,brentwood village,bokarina,2280,nsw,19571020,3226586
michael,pestka,27,fisken crescent,tabbagong,seven hills,3204,nsw,19610803,4973970,michael,cheshire,117,william hudson crescent,menora,berkeley vale,3056,act,19330820,4812124
hannah,insley,4,wanganeen avenue,plumpton park,drysdale,3199,vic,19921024,3031015,hannah,sandman,32,mcinnes street,,lewiston,3134,sa,19690707,2339019
hannah,insley,4,wanganeen avenue,plumpton park,drysdale,3199,vic,19921024,3031015,hannah,insley,4,wanganeen avenue,plumptonpark,drysdale,3199,vic,19921024,3031015
hannah,insley,4,wanganeen avenue,plumpton park,drysdale,3199,vic,19921024,3031015,hannah,bishop,79,merriman crescent,,millgorve,4625,nsw,19740414,4492531
hannah,insley,4,wanganeen avenue,plumpton park,drysdale,3199,vic,19921024,3031015,hannah,reid,21,bisdee street,tall pibes,malvern,2478,qld,19840208,1762901
zachary,dixon,18,couchman crescent,yarrimbah,wantirna,2132,vic,19400312,6746706,zachary,bradshaw,106,totterdell street,barossa village,colo hvale,3444,qld,19151219,6773922
zachary,dixon,18,couchman crescent,yarrimbah,wantirna,2132,vic,19400312,6746706,zachary,clarke,250,,waiweer,rochedales outh,3550,vic,19200830,4054598
zachary,dixon,18,couchman crescent,yarrimbah,wantirna,2132,vic,19400312,6746706,zachary,dixon,18,couchmancrescent,yarrimbah,wantira,2132,vic,19400312,6747606
jacob,campain,7,logan street,bimbadoon,toowoomba,4551,qld,19520416,1591935,jacob,coppola,3,smeaton circuit,deer farm,stanmore,3400,sa,19211130,8983109
jacob,campain,7,logan street,bimbadoon,toowoomba,4551,qld,19520416,1591935,jacob,heron,4,leebold hill farm,stubbs crescent,bilgola beach,4401,act,,2421446
jacob,campain,7,logan street,bimbadoon,toowoomba,4551,qld,19520416,1591935,jacob,margrie,,moulderourt,collaroy,clifyon,3840,vic,19130517,4315229
jacob,campain,7,logan street,bimbadoon,toowoomba,4551,qld,19520416,1591935,jacob,watts-endresz,6,maranoastreet,rubern cottage,cowra,2046,qld,19400708,4839060
jessica,bastiaans,130,beazley crescent,sun valley caravan park,ingleburn,3028,qld,19270912,7965000,jessica,goode,24,gundamain,devonport street,tanilba bay,6104,qld,19620120,3222738
jessica,bastiaans,130,beazley crescent,sun valley caravan park,ingleburn,3028,qld,19270912,7965000,jessica,lowe,,windeyer street,mt matrin,ridleyton,7279,,19120708,8511839
jessica,bastiaans,130,beazley crescent,sun valley caravan park,ingleburn,3028,qld,19270912,7965000,jessica,claffey,102,aronsoncrescent,lamingtonunatlional,wynnum west,2080,vic,19431126,7278796
tanar,huxley,,ashcroft crescent,kilfeacle,bray park,2046,vic,19700512,5171988,tanar,saccardo,43,irvine street,anzac house (cnrf archer s street,canterbury,3690,wa,19100526,7953897
samantha,crouch,,crisp circuit,medical centre,roselands,3199,nsw,19280914,9016486,samantha,nguyen,18,copeplace,strawberrmyfields,dover,6774,nsw,19090828,3519655
samantha,crouch,,crisp circuit,medical centre,roselands,3199,nsw,19280914,9016486,samantha,bellamy,123,hawkesbury crescent,bri stin,pallaar,2756,nsw,19091019,8779096
kailey,herbert,40,popplewell place,rp 24089,wahroonga,7470,vic,19381017,7131960,kailey,stubbs,94,house circuit,moreton island,,4551,qld,19230318,1819847
kailey,herbert,40,popplewell place,rp 24089,wahroonga,7470,vic,19381017,7131960,kailey,thredgild,20,renwick smtreet,,blacktown,4116,qld,19660923,6956824
erin,krollig,68,wells road,rosehill,auburn,5068,sa,19421210,5690708,erin,campbell,11,learmonth drive,lassaan,dulwich hill,4261,,19790408,5750866
erin,krollig,68,wells road,rosehill,auburn,5068,sa,19421210,5690708,erin,krollig,10,wellslroad,rosehill,auburn,5068,sa,,9780684
oliver,beattie,68,brigden crescent,mortlach,matraville,6164,vic,19030824,4461623,oliver,white,18,kinchela crescent,murray river queen,emu aby,2219,nsw,19340722,1420638
oliver,beattie,68,brigden crescent,mortlach,matraville,6164,vic,19030824,4461623,oliver,jacobus,,tiptree rescent,crestfield,lansale,4013,vic,19260331,1158763
jacob,delfos,61,morgan crescent,valicare,geurie,4557,act,19510208,4071052,jacob,coppola,3,smeaton circuit,deer farm,stanmore,3400,sa,19211130,8983109
jacob,delfos,61,morgan crescent,valicare,geurie,4557,act,19510208,4071052,jacob,heron,4,leebold hill farm,stubbs crescent,bilgola beach,4401,act,,2421446
jacob,delfos,61,morgan crescent,valicare,geurie,4557,act,19510208,4071052,jacob,margrie,,moulderourt,collaroy,clifyon,3840,vic,19130517,4315229
jacob,delfos,61,morgan crescent,valicare,geurie,4557,act,19510208,4071052,jacob,watts-endresz,6,maranoastreet,rubern cottage,cowra,2046,qld,19400708,4839060
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,santi,1,griffiths street,rowethorpe,mckinnon,6163,nsw,19151129,2102559
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,clarke,117,hurley street,weemilah,tallebugdera,4021,vic,19010403,4822857
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,oreskovic,16,marrakai strqeet,gooroomon park,ballaat,2035,wa,19710815,4253689
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,leslie,952,carpenter close,,cantebrry,2340,vic,19950608,2438058
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,negri,159,hageltho rn street,port rush parade,port macquarie,4702,qld,19260319,4740975
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,dessart,165,macvitiewplace,brambletye v inyard,lindenow south,4218,,19361017,2517857
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,cocharne,7,monaro crescent,ballafkona,hendra,4128,qld,19361016,5263623
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,zimmermann,71,cannonvale whitsunday shopping centre,johnston street,college park,5010,ws,19131126,2103370
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,clarke,,barangaroo street,apt 8g,blacktown,2615,nsw,19240224,6718271
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,mounc,92,symers street,donald coburn lodg,ferryden park,2100,qld,19000224,4142857
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,donaldson,71,mannheim street,sandalford komestead,urangan,2713,nsw,19320608,5103641
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,george,3,steinwedel atreet,glendal stud,gumdale,6020,vic,19270723,7682028
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,scappatura,3,reuther treet,wattlz brae,east fremantle,3129,nsw,19390522,5932517
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,mason,,schomburgk street,mlc centre,beverly hills,4074,tas,19560710,4752429
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,brain,31,benham street,tagarra,belmont,3161,nsw,19860305,8028191
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,webb,6,whitty crescent,gowrie,,2286,nsw,19450822,1342488
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,white,7,supply place,little gundy,oaklands park,2158,nsw,,5239710
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,kammerman,1,alpen street,,burwood,6154,vic,19360722,6279535
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,longman,10,wassell place,glenarthur,coffs harbour,0812,qld,19390813,7175344
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,reew,45,badimara street,easedale lodge,sanctuary point,2257,nsw,19720228,3996047
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,dixon,13,banambil street,the homestead,lawson,6210,qld,19370314,7753663
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,hag e,62,livingston avenue,enderlee,nunawading,3350,nsw,19210108,4440855
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19890211,3864187,,blackwell,127,ferrier place,northwood npark,chelsea heights,4211,qld,19570409,8541055
jasper,morrish,6,mirrool street,bristin,mosman,2745,nsw,19640228,1807750,jasper,dorling,155,dowling street,gateway vlgefcaravn park,upwey,2069,nsw,19470208,2142730
jessica,kranz,,brunton street,the mews royal hotel bldg,norwood,5159,sa,19880226,7412923,jessica,goode,24,gundamain,devonport street,tanilba bay,6104,qld,19620120,3222738
jessica,kranz,,brunton street,the mews royal hotel bldg,norwood,5159,sa,19880226,7412923,jessica,lowe,,windeyer street,mt matrin,ridleyton,7279,,19120708,8511839
jessica,kranz,,brunton street,the mews royal hotel bldg,norwood,5159,sa,19880226,7412923,jessica,claffey,102,aronsoncrescent,lamingtonunatlional,wynnum west,2080,vic,19431126,7278796
william,ryan,1,fortitude street,hd of solomon,atherton,2200,qld,19520613,8994180,william,vanderwesten,11,william wilknis crescent,wyuna,grenfell,5290,nsw,19500801,2499394
ethan,mccombe,624,mcnamara street,copely,tailem bend,4740,wa,19020126,1088335,ethan,malvestuto,14,macnaughton street,veone,lauridton,2577,nsw,19520506,1707216
ethan,mccombe,624,mcnamara street,copely,tailem bend,4740,wa,19020126,1088335,ethan,reuter,,rivers street,haven caravn park,balcllyn,4571,nsw,19391123,3818774
jaden,zepina,23,hawkesbury crescent,mayflower retrmnt vlge,narellan,6053,tas,19030610,4672007,jaden,zepina,23,mayflower rerrmnt vlge,hawkesbury rescent,narellan,6053,tas,19030610,4672007
riley,lamprey,22,embley street,,hinchinbrook,3199,vic,19851029,8710851,riley,noble,17,thakemplace,station homestead,matraville,5032,wa,19600221,8713309
riley,lamprey,22,embley street,,hinchinbrook,3199,vic,19851029,8710851,riley,webv,5,dent pla ce,,meadow srpings,2262,wa,19161013,1897297
riley,lamprey,22,embley street,,hinchinbrook,3199,vic,19851029,8710851,riley,bteheny,14,barritt street,rosetta vllage,lalor,0586,tas,,3501500
lachlan,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2770,nsw,19770527,2068877,lachlan,lanyon,33,maranao street,,elsternwick,2228,wa,19950930,4086155
lachlan,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2770,nsw,19770527,2068877,lachlan,mandry,3,richardso street,lakechatsworth,christies beach,2004,tas,19220410,1565982
lachlan,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2770,nsw,19770527,2068877,lachlan,bloomfield,22,northbourne avenue,navillus,sherwood,4305,qld,19781007,5148084
lachlan,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2770,nsw,19770527,2068877,lachlan,grosser,68,st clair place,settle dons,st albans,4014,nsw,19330725,5961769
lachlan,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2770,nsw,19770527,2068877,lachlan,whte,81,gabriel place,sec 4 79,parramatta,3030,qld,19210910,2637042
blake,matthews,40,perrin circuit,broadwater caravn park,kedron,2466,vic,19670914,1826915,blake,coleman,160,schoales place,court units,berwick,5159,nsw,19930621,7188217
blake,matthews,40,perrin circuit,broadwater caravn park,kedron,2466,vic,19670914,1826915,blake,crook,169,olympus way,glendower,clovely,3429,nsw,19001215,9317676
makenzi,weller,31,copland drive,gwandalan,erskine,4214,wa,19500810,1011936,makenzi,chandler,,duffy street,,hoppers crossing,2615,wa,19711213,9713887
kate,tantschev,99,knox street,fronda,buronga,5158,qld,19870422,6536232,kate,mcmullen,24,,fairholme,port mscquarie,2470,qld,19940928,1366439
nikki,neik,180,balfour crescent,brentwood village,charlestown,2228,wa,19840720,7106885,nikki,jaruic,13,renmark street,parishlorne,chester hill,2106,nsw,19520401,9272910
william,corrie,17,degraves crescent,sec 1,parkinson,4741,nsw,19610614,5150424,william,vanderwesten,11,william wilknis crescent,wyuna,grenfell,5290,nsw,19500801,2499394
danielle,tomasevic,18,amangu street,fronda,kedron,2380,nsw,19270622,9306292,danielle,nygaard,1,battersgy circuit,iron shoe lodge,burwood,5271,nsw,19350414,2589501
emiily,witthoeft,,galmarra street,villa 5,kurri kurri,2065,nsw,19421209,5224776,emiily,finlay,61,coranderrk street,,ulverstone,3043,vic,19070731,9964204
emiily,witthoeft,,galmarra street,villa 5,kurri kurri,2065,nsw,19421209,5224776,emiily,boyle,25,bega fl ats,rose valley farm,loganlea,3141,wa,19220406,5388162
emiily,witthoeft,,galmarra street,villa 5,kurri kurri,2065,nsw,19421209,5224776,emiily,excell,10,druittplace,tharlane,salisbury,3478,vic,19390713,5109979
emiily,witthoeft,,galmarra street,villa 5,kurri kurri,2065,nsw,19421209,5224776,emiily,boulter,12,drevermsnn street,manil,currimundi,3030,nsw,19770628,4873584
emiily,de michele,23,lawrence crescent,manila,mount alford,2577,nsw,19530522,7400612,emiily,finlay,61,coranderrk street,,ulverstone,3043,vic,19070731,9964204
emiily,de michele,23,lawrence crescent,manila,mount alford,2577,nsw,19530522,7400612,emiily,boyle,25,bega fl ats,rose valley farm,loganlea,3141,wa,19220406,5388162
emiily,de michele,23,lawrence crescent,manila,mount alford,2577,nsw,19530522,7400612,emiily,excell,10,druittplace,tharlane,salisbury,3478,vic,19390713,5109979
emiily,de michele,23,lawrence crescent,manila,mount alford,2577,nsw,19530522,7400612,emiily,boulter,12,drevermsnn street,manil,currimundi,3030,nsw,19770628,4873584
aidan,bishop,36,mcintyre street,unt 2,sidmouth,3011,nsw,19490620,1383389,aidan,webb,,benny place,,rosewater,6023,vic,19410718,5320865
charlotte,mason,16,ratcliffe crescent,baroona,hackham,5073,vic,19060923,6430306,charlotte,de chellis,47,kitchener street,rowethorpe,rowsn,2833,nsw,19330807,7941748
liam,cowle,132,burbidge crescent,valicare,pomborneit,3824,nsw,19801112,5015237,liam,gani,95,bramston st reet,,modbury eh ights,5013,qld,19831203,1175982
liam,cowle,132,burbidge crescent,valicare,pomborneit,3824,nsw,19801112,5015237,liam,dabinet,32,boldrewood street,statue bay,mulgrave east,3121,qld,19851223,4783172
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,gillard,18,melba street,ningafa,loganlea,2162,qld,19840128,8021771
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,george,,woronoar street,south melbourne market,kangaroo flat,2450,nsw,19370115,3711821
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,stirland-mitchell,176,badimars street,wirreanda vlge,port augusta,2196,qld,19040106,3551585
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,leung,36,catchpole street,,mountakn creek,3057,nsw,19640118,2584055
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,blackwsell,50,leist street,ruffenuff,christies beach,3977,vic,19570321,6072506
harrison,stirland-mitchell,176,badimara street,wirreanda vlge,port augusta,2196,qld,19040106,3551585,harrison,burman,24,la peroue street,bypass road,yarrawonga,2122,vic,19531122,8916268
talia,brooker,30,bellchambers crescent,rowethorpe,hawthorn,2033,sa,19561107,4841722,talia,lucadou wells,59,de little circuit,,forrestvield,4740,vic,19560221,2600068
jarod,morrison,13,broadsmith street,spylaw farm,caulfield,3614,wa,19201230,3314025,jarod,morrison,13,broadsmit h street,spylaw farm,caulfield,3164,wa,19201230,3314025
jake,vigneswaran,24,franklin street,westside,geelong west,4114,vic,19700129,2559983,jake,yeoman,8,hope street,westella,penrith,2047,vic,19870808,2098452
jake,vigneswaran,24,franklin street,westside,geelong west,4114,vic,19700129,2559983,jake,mccart hy,19,jacobs street,the richard house,hoppersc rossing,3021,vic,19501129,9421400
nathan,ottens,1625,sanford place,howie circuit,little mountain,2448,nsw,19511207,6076799,nathan,green,10,franc p lace,tara p ark,marsden,3337,qld,19060131,8615544
nathan,ottens,1625,sanford place,howie circuit,little mountain,2448,nsw,19511207,6076799,nathan,otten,,sanford place,howie ci rcuit,little mountain,2448,nsw,19511207,6076799
william,matthews,154,victoria street,,hughes,2134,wa,19940831,2176052,william,vanderwesten,11,william wilknis crescent,wyuna,grenfell,5290,nsw,19500801,2499394
,colpo,2,trigg place,southern cross,clarinda,6018,vic,19280716,4186527,,santi,1,griffiths street,rowethorpe,mckinnon,6163,nsw,19151129,2102559
,colpo,2,trigg place,southern cross,clarinda,6018,vic,19280716,4186527,,clarke,117,hurley street,weemilah,tallebugdera,4021,vic,19010403,4822857
