given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
lachlan,couzens,5.0,salvado place,hobart private hospital (cnr argyle),taree,2211,vic,19690911.0,1741428,lachlan,alderson,709.0,mcnicoll street,nan,exmouth,5435,vic,19381021.0,4899443,0
emiily,walkley,4.0,barangaroo street,meadowvale village,padstow,7030,wa,19190615.0,2871929,emiily,sarifao,13.0,boobialla street,the meadows,clareville,2229,qld,19740226.0,5576047,0
jacob,haren,14.0,finlayson place,colloca vale,mooroolbark,7000,vic,19180426.0,5885583,jacob,kapeller,5.0,mountvernog drive,noelurma,toowoomba,2216,vic,19361129.0,5761018,0
connor,paine,10.0,adair street,kangarilla,warren,3194,sa,19140306.0,5213108,connor,lowe,50.0,augustus close,corunna,west lakes shore,2017,nsw,19611015.0,1592036,0
robert,etherington,23.0,caley crescent,locn 217,emerald,2250,vic,19140926.0,3623767,robert,gibb,2.0,springcreek,mckeahnie street,frankston,2450,wa,19440618.0,9181026,0
kane,reid,12.0,arnold place,lakefront retrmnt vlge,seventeen mile rocks,6285,qld,19181209.0,4118529,kane,tiller,19.0,verbrugghem street,karana hojestead,nan,2122,vic,19680109.0,4091125,0
jarod,feleppa,63.0,badimara street,tudor,frenchs forest,4821,nsw,19610421.0,8535978,jarod,morrison,13.0,broadsmit h street,spylaw farm,caulfield,3164,wa,19201230.0,3314025,0
sophie,rees,5.0,dangar place,thomond,sylvania,2541,vic,19740419.0,6279787,sophie,mccqrthy,91.0,woodfull loop,norma,west culburra,2340,qld,19580523.0,1578155,0
lachlan,godfrey,45.0,lienhop street,sorrento,lalor,2350,sa,19080429.0,9107241,lachlan,pacey,15.0,wilshire street,cypress mgarden,wendouree,2770,nan,19711111.0,4723081,0
mitchell,noyce,5.0,rosella street,rowethorpe,nan,2540,wa,19660901.0,2277894,mitchell,matthews,21.0,kulgera s treet,the willows,north beach,4109,vic,19590701.0,8051712,0
molly,hannagan,15.0,pickworth street,the stockyards,ballarat,6027,nsw,19241115.0,9178151,molly,roche,59.0,willoughby crescent,donna vblaley,carrxara,4825,nsw,19200712.0,1847058,0
damien,madigan,92.0,barringer street,forest edge,montmorency,2226,qld,19700502.0,7969974,damien,ngueyn,107.0,jerrabomberra avenue,nan,noble park,2013,wq,19670919.0,8598019,0
nan,camp,58.0,dowling street,executive arcade,farrer,2519,qld,19460723.0,5604647,nan,dixon,13.0,banambil street,the homestead,lawson,6210,qld,19370314.0,7753663,0
olivia,gully,3.0,cockburn street,booligal,nan,2163,qld,19150112.0,1992595,olivia,davdi,67.0,nan,thorndale,chelsea heights,4218,nan,19910923.0,3201406,0
joshua,campbell,1.0,jonsson court,nan,bayswater,6353,nsw,19261206.0,6149683,joshua,trait,94.0,batchelor street,kurrajong,mirboo north,2259,sa,19161010.0,9285169,0
matthew,ploughman,nan,severne crescent,goodhope,raby,2541,wa,19900710.0,4917759,matthew,coleman,9.0,eggers fplace,carinyah station,lalor,4707,vic,19111230.0,1110230,0
ruby,matthews,15.0,chauncy crescent,kildrummie,armidale,3616,sa,19060824.0,1111899,ruby,warrior,5.0,ironbarkcrescent,margaret river carvn park,penshurst,3075,vic,19550812.0,5870334,0
nicholas,millar,201.0,temperley street,malanda orchard,hyde park,2767,wa,19300617.0,1000123,nicholas,george,nan,hall street,rhode island resort,brighton,3264,nsw,19920715.0,3273376,0
zac,mashberg,32.0,barraclough crescent,mowbray,ballina,3184,nsw,19680330.0,8938791,zac,ebdell,nan,gogulge rstock,outtrim avenue,preston,4123,vic,19461126.0,3704089,0
hannah,birkin,7.0,tregear close,highfields specialist centre,port macquarie,6065,nsw,19140127.0,3152369,hannah,bishop,79.0,merriman crescent,nan,millgorve,4625,nsw,19740414.0,4492531,0
jayde,glass,15.0,macarthur avenue,shillelagh park,glenella,3200,vic,19161226.0,9446563,jayde,lazar off,36.0,castleton crescent,morayfiel d exchange,lindfield,4311,nsw,19350424.0,7611601,0
nan,braithwaite,136.0,kemsley place,john flynn medical centre,bellevue hill,2234,qld,19730806.0,8732209,nan,felmingham,49.0,gawler crescent,wing ara,wynnym west,6159,nsw,19920718.0,7791969,0
ethan,hoover,151.0,monaro crescent,tiverton,yarra junction,2219,nsw,19920703.0,8513913,ethan,beckwith,26.0,hirst lace,miniacres,morphettville,4870,qld,19981113.0,9473353,0
nan,grierson,326.0,nan,sect 106,mcmahons point,6326,tas,19181212.0,4107638,nan,alias,24.0,elkington street,panganu,isle of capri,2145,sa,19650429.0,8261472,0
samuel,crofts,613.0,banjine street,kurrajong vlge,penguin,2230,qld,19410531.0,4467228,samuel,princehorn,20.0,gould street,somerview,warra,3152,nsw,19716209.0,1347961,0
emiily,capel,1721.0,burkitt street,locn 1025,ascot vale,4053,nsw,19341111.0,3160127,emiily,ticey,6.0,hazel street,duck creek,cooloongup,800,nsw,19591017.0,6058396,0
william,corrie,17.0,degraves crescent,sec 1,parkinson,4741,nsw,19610614.0,5150424,william,vanderwesten,11.0,william wilknis crescent,wyuna,grenfell,5290,nsw,19500801.0,2499394,0
nan,hilton,25.0,heard street,craiglyn,blue haven,2614,wa,19550612.0,2455796,nan,white,10.0,spafford crescent,clear cr eoek,pakenhm,4059,nsw,19480205.0,7285108,0
nan,teague,38.0,emily bulcock crescent,locn 341,caulfield,2041,nsw,19900523.0,1754920,nan,teteirs,nan,kellermann close,b oneo,brighton,3030,nsw,19381004.0,5797955,0
riley,webb,5.0,dent place,nan,meadow springs,2226,wa,19161013.0,1897297,riley,bishop,15.0,hyndes cr scent,vill a 2,toulkey,2641,qld,19741020.0,9752897,0
rebecca,coulson,31.0,groote place,rosemount,aldgate,3053,sa,19700209.0,5885868,rebecca,boothoryd,1.0,gatto s treet,rosedae,wiseleigh,3690,nsw,19002103.0,3436597,0
chelsea,brooker,40.0,stuart street,coolalie,wellington point,2076,qld,19981109.0,5456111,chelsea,nan,186.0,spofforth street,nan,clare,2750,vic,19560408.0,9071776,0
nan,clarke,nan,edkins street,conmurra,robina,2162,nsw,19360520.0,2120525,nan,reidz,46.0,dooring street,windalea,dandeno ng north,3582,nsw,19130312.0,1322845,0
adam,yu,33.0,wittenoom crescent,ashell,werrington,2203,vic,19410707.0,6158700,adam,tuckwell,38.0,mcmillan crescent,nan,broome,5037,nsw,19960528.0,8397512,0
emiily,paine,26.0,bussell crescent,koyo,karratha,3977,vic,19750805.0,7519967,emiily,robnik,288.0,gossestfeet,nan,werrington,4216,nsw,19671025.0,8062583,0
oliver,white,18.0,kinchela crescent,murray river queen,emu bay,2219,nsw,19340722.0,1420638,oliver,agius,54.0,ashburton circuit,gilston lodge,bray pabrk,2161,wa,19651114.0,6136263,0
emiily,vimpany,200.0,langdon avenue,kalamos,calen,3152,qld,19180604.0,2589251,emiily,dods,110.0,solomoncrescent,crowden,bendemeer,2602,vic,19970213.0,6929273,0
emiily,jeffries,39.0,oxley street,paddy,blair athol,4051,wa,19250402.0,9596327,emiily,matthews,192.0,jacka crescent,nan,murogn,3012,nsw,19230603.0,2611585,0
nan,babic,1.0,totterdell street,cooingale,st albans,4060,sa,19450403.0,4779301,nan,binnsd,90.0,plummer street,toow oomba,hoppers crossing,2026,sa,19011227.0,4137992,0
amber,von hoist,75.0,pattinson crescent,school house,hoppers crossing,3311,vic,19970624.0,8009122,amber,reid,3.0,hedleystreet,westehram,bibra lake,6108,vin,19449015.0,9481816,0
jack,dunnicliff,63.0,tristania street,legacy vlge,sale,2428,vic,19760618.0,4815066,jack,carvone,55.0,wrenfordsley place,nan,moira,2038,vic,19710726.0,1202844,0
bethany,dixon,25.0,burraly court,denny downs,culburra,2208,nsw,19850214.0,5650922,bethany,reid,9.0,totterdell street,kingaroy agrden,deniliquin,2800,qld,19080203.0,5554694,0
nan,webb,168.0,booroondara street,the willows,lakes entrance,3179,vic,19911219.0,6504363,nan,grierson,326.0,nan,sect 106,mcmahons point,6362,tas,19181212.0,4107638,0
joshua,fogliano,522.0,hawdon street,francis chambers,bonville,6167,qld,19290927.0,3505678,joshua,white,85.0,hindmarsh drive,hobbi t hole,nambour,3840,vic,19230425.0,7052918,0
rachel,deakin,1748.0,hugh mckay crescent,stockwell hotel,inverleigh,5268,wa,19400613.0,7083021,rachel,elstob,3.0,mullan street,nan,ivanhoe,4305,sa,19570111.0,5616006,0
bethany,steers,3.0,temperley street,parkside flats,east maitland,4210,vic,19610825.0,5823896,bethany,white,24.0,nan,hybernia park,bittern,3075,vic,19910219.0,8903580,0
emiily,capel,1721.0,burkitt street,locn 1025,ascot vale,4053,nsw,19341111.0,3160127,emiily,geraghty,75.0,mundine 30 km,sidaway street,berwick,2084,vic,19480422.0,5034488,0
nan,oreskovic,16.0,marrakai street,gooroomon park,ballarat,2035,wa,19710815.0,4253689,nan,harrington,35.0,boult place,nan,narrsgin,4053,vic,19710705.0,5786506,0
william,margush,14.0,bindaga street,unt 2,yackandandah,3150,nsw,19780603.0,3588509,william,minnicn,10.0,tunney crescent,berkeley vlge,redbank plains,2835,qld,19530313.0,5016829,0
benjamin,cassimatis,23.0,nan,yacklin,thornleigh,6006,nsw,nan,1533923,benjamin,lowe,45.0,macrossan crescent,nan,kingdton,6075,nsw,19250611.0,5513136,0
nan,clarke,6.0,barangaroo street,apt 8g,blacktown,2615,nsw,19240224.0,6718271,nan,grierson,326.0,nan,sect 106,mcmahons point,6362,tas,19181212.0,4107638,0
nan,colpo,2.0,trigg place,southern cross,clarinda,6018,vic,19280716.0,4186527,nan,negri,159.0,hageltho rn street,port rush parade,port macquarie,4702,qld,19260319.0,4740975,0
emiily,white,12.0,crago place,rocklea,mosman,3300,vic,19390429.0,6209600,emiily,nan,19.0,bagshaw place,legacy units,hopefield,2705,tas,19320911.0,7815080,0
nan,kowald,3.0,hindmarsh drive,green desert,greenwood,2016,sa,19440126.0,8957090,nan,papageorgiou,22.0,wisdom place,nan,smithfiel dplains,2350,nsw,19070623.0,4609754,0
nan,ruolle-ivanov,11.0,fairweather circuit,nan,mount low,5290,vic,19661012.0,4600962,nan,horkings,144.0,box hill avenue,alexandra racecourse,paddington,4061,vic,19291011.0,1360308,0
george,meaney,164.0,elder street,jingara,st albans,4060,vic,19320703.0,9691332,george,snelling,18.0,nan,nan,paterson,6136,nsw,19800918.0,5346431,0
nan,staunton-smith,68.0,frome street,kookaburra village,broken hill,2870,vic,19820117.0,6922783,nan,camp,58.0,dowling sgtreet,executive arcade,farrer,2519,qld,19460723.0,5604647,0
nan,maslich,38.0,ibis street,wee wilbertree,carine,3337,vic,19360105.0,3611483,nan,lungershausen,28.0,hilder sreet,morayfieldexchange,redbank plains,4350,nsw,19431008.0,3687513,0
joshua,petersen,8.0,wybalena grove,lyra park,surry hills,3162,vic,19420824.0,4895026,joshua,fauser,2.0,unt 2,harrington pcircuit,kingsford,2280,nsw,19820606.0,4981335,0
benjamin,paine,277.0,nan,rose lane centre,glengowrie,2046,vic,19531018.0,3571554,benjamin,donaldson,34.0,dunoon street,westwood homestead,st algans,2611,nsw,19331111.0,2281465,0
amy,flannery,15.0,jansz crescent,timberscombe,lakemba,5556,qld,19871219.0,1702911,amy,campbell,7.0,kinchela cerscent,aceland pollh ereford stud,swan hill,4753,qld,19021030.0,2533567,0
brooke,reid,27.0,skertchly place,santa lucille,rye,4116,qld,19431227.0,3146566,brooke,egan,93.0,mcinnes street,riverbencd,wanniassa,4215,vic,19880417.0,8165238,0
pearson,ryan,38.0,leven street,pyramid caravn park,bulimba,2251,qld,19010120.0,7889345,pearson,reid,19.0,hodgkinson street,mar enoe,woodcrfot,4815,nsw,19101109.0,1582056,0
joshua,seddon,1.0,murranji street,parkridge villa,slacks creek,2650,qld,19090214.0,3661114,joshua,choi-lundberg,31.0,vest place,nan,leslie vale,7000,qld,19380903.0,1002096,0
cameron,mcgargil,42.0,jardine street,blythelands,port pirie,2135,qld,19410208.0,2461277,cameron,saraxh,6.0,blacket t crescent,cranbrook,peterborough,4710,qld,19320515.0,2692792,0
hannah,egan,9.0,elvire place,the iron farm,parkside,3042,nsw,19380131.0,6564365,hannah,browne,4.0,fergusson crescent,nan,mount dandenong,2645,vic,19181016.0,1931940,0
nan,manzie,33.0,hemmant street,lasswade,ormond,3150,qld,19560714.0,7289058,nan,webv,nan,degraves crescent,marriott downs,maryborough,6151,nsw,19130715.0,5325666,0
connor,bishop,450.0,earle street,coorrabin,broken hill,7320,vic,19261223.0,7015666,connor,foall,17.0,lamb p lace,berri cottage hmes,kilsyth,3174,qld,19140927.0,4900414,0
benjamin,green,12.0,woolner circuit,mirani,reynella,2905,sa,19651021.0,8195933,benjamin,mattrews,3.0,enderb ystreet,byron van village caravan park,coorabell,2221,sa,19720501.0,8872778,0
nan,klemm,43.0,clem hill street,nan,st kilda,4205,qld,19751020.0,5119969,nan,white,24.0,maddock place,headland garden,roseb ay,2380,qld,19560217.0,8506035,0
indiana,wasley,70.0,alabaster street,glenavon,kilcunda,6530,qld,19380728.0,8716390,indiana,clarje,9.0,wade street,nan,llandilo,2077,qld,19450816.0,7669254,0
joel,reid,7.0,pearson street,lytton,floreat,3153,qld,19051112.0,1523622,joel,badegr,47.0,blamey crescent,brookfields,broadford,4807,qld,19791106.0,2164581,0
charlotte,baynes,156.0,bainton crescent,winton,malvern east,6111,nsw,19221231.0,7857555,charlotte,hathaway,5.0,hartung crescent,anzac house (cn r rcher s street,broken hill,6060,qld,19740418.0,2652077,0
nan,farrimond,57.0,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111.0,3876047,nan,reid,11.0,nan,green lzgoon,camp hill,6026,vic,19671214.0,5483640,0
nan,motbey,43.0,badimara street,rowethorpe,rosebud,3345,nsw,19500328.0,3314402,nan,rollins,28.0,flinders way,lazy acres,kilsyth,3775,nsw,19941004.0,3535164,0
amber,webb,1.0,biddlecombe street,cedarview,trevallyn,3777,qld,19920815.0,2423271,amber,crouch,75.0,crisp tsreet,manning village,kyabram,2648,vic,19010309.0,2336725,0
isabella,bowerman,22.0,aspinall street,campaspe,northbridge,2913,nsw,nan,5138593,isabella,orm,125.0,officer crescent,nan,sandgate,2190,nsw,19471012.0,5078419,0
emiily,wilson-wheeler,1.0,woolcock street,willandra,taree,2477,qld,19610625.0,8119451,emiily,green,8.0,kurria place,oceanbeach ca ravan park,north rocks,5095,nsw,19810511.0,6240008,0
joshua,choi-lundberg,31.0,vest place,tulloch,leslie vale,7000,qld,19380903.0,1002096,joshua,white,60.0,gabriel place,the maedows,liyldale,2044,vic,19230819.0,5884108,0
benjamin,royans,35.0,bootle place,denmore,floreat,2756,vic,19100121.0,6512947,benjamin,doal,3.0,leahy close,killarney,rowville,2430,vic,19371003.0,6069398,0
blake,ryan,5.0,nan,town & country caravn park,bundaberg north,2484,nsw,19850601.0,6826301,blake,coleman,160.0,schoales place,court units,berwick,5159,nsw,19930621.0,7188217,0
lachlan,white,1.0,atherton street,the mews royal hotel bldg,alexandra bridge,3390,vic,19810422.0,5260328,lachlan,shephaerd,1.0,grainger circuit,willandra,adaminaby,7250,nsw,19080122.0,3139543,0
nan,staunton-smith,68.0,frome street,kookaburra village,broken hill,2870,vic,19820117.0,6922783,nan,gibb,59.0,weavell place,st vincents hospital,tawonga south,2119,nsw,19490606.0,8704563,0
nan,campbell,4.0,dunbar street,delicate nobby street,cloverdale,2528,vic,19480406.0,8607518,nan,leslie,952.0,carpenter close,nan,cantebrry,2340,vic,19950608.0,2438058,0
joshua,pringle,13.0,fred johns crescent,glenview,elwood,2640,sa,19720127.0,9406321,joshua,needham,20.0,nan,jackarand alodge,manunda,2325,qld,19130421.0,6586520,0
nan,mcgirr,1170.0,graham street,hopefield,yangebup,3414,vic,19060702.0,7139205,nan,padas,7.0,edmondson atreet,goughs bay,modbury,2036,wa,19170811.0,3374275,0
jack,badman,8.0,kardang street,gowrie,point samson,4670,nsw,19070912.0,1172421,jack,lowe,16.0,lambert street,belon fame,lavington,6615,vic,19091212.0,6247312,0
noah,rosato,25.0,la perouse street,cowal,east maitland,7140,wa,19160718.0,6064519,noah,rawligs,6.0,melroseidrive,lethbridge court,darlington,3216,nsw,nan,8526649,0
brianna,feast,23.0,brentnall place,blacklead farm,atherton,4650,nsw,19181028.0,1261908,brianna,ryan,1.0,bingham circuit,beltunga,highett,6330,qld,19310316.0,9339689,0
caitlin,milburn,17.0,heard street,lexington,south arm,2850,qld,19530105.0,3195330,caitlin,nan,24.0,eyre street,retirement village,worongary,2830,nsw,19420102.0,1257356,0
nan,campbell,4.0,dunbar street,delicate nobby street,cloverdale,2528,vic,19480406.0,8607518,nan,mounc,92.0,symers street,donald coburn lodg,ferryden park,2100,qld,19000224.0,4142857,0
olivia,leong,75.0,naismith place,mckail,deer park,3177,nsw,19820831.0,9379794,olivia,thorpe,19.0,pudneystreet,parry h ouse,mount evelyn,2619,vic,19430807.0,3939861,0
holly,glennon,8.0,ballumbir street,summervale,glengowrie,4124,wa,19490518.0,6635323,holly,clarke,16.0,ballumbir street,talooby,sale,3166,nsw,19121217.0,8303839,0
jack,carbone,22.0,echo place,folscoit,loganholme,2749,wa,19400114.0,1449566,jack,dancey,174.0,wells g arden,nan,taree,2216,vic,19311206.0,1490674,0
james,krollig,15.0,orchard place,donnachaidh,rosebud,6064,nsw,19430421.0,4244938,james,rosendale,1.0,boultin close,middle earth,bateman,2147,nsw,19720223.0,3756981,0
nan,lund,109.0,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902.0,7074690,nan,ebert,69.0,rapanea street,pangabi,nan,6061,nsw,19310909.0,9105802,0
nan,reid,147.0,marr street,walkers orchard,arthurs creek,7330,nsw,19240712.0,7585720,nan,wheatley,65.0,kalga,slessorcrescent,batemans bay,6014,wa,19380508.0,5827434,0
ethan,lomman,404.0,edwell place,brentwood vlge,ivanhoe,3792,nsw,19740120.0,8595511,ethan,matsoin,310.0,bennevis estate,worrall street,albion park rail,3672,qld,19830111.0,3451352,0
emiily,wilkins,22.0,green street,liselican,darlington,3101,nan,19610512.0,5342428,emiily,green,31.0,applgelen,julius street,mount colah,2290,vic,19310530.0,7373124,0
jacob,gillard,25.0,batchelor street,villa 2,rossmore,3910,vic,19970424.0,9592273,jacob,webb,6.0,majura road,moline ivllage,ashfield,4352,tas,19470221.0,1586712,0
jack,wang,nan,elliott street,stoney creek,norwood,2147,nsw,19790913.0,5004938,jack,shadbolt,8.0,allunga,julia flynn avenue,alice springs,3550,sa,19270523.0,8908609,0
flynn,banham,164.0,starke street,stonehouse,carlingford,2444,sa,19890221.0,3189743,flynn,whitd,26.0,buntine crescent,berkee ly vlge,karara,3550,nsw,19980415.0,8345957,0
alissa,priest,7.0,lawley street,locn 5885,granville,4113,qld,19241102.0,1113130,alissa,yelds,2.0,bingley crescent,woodlands house,leeton,3012,sa,19881106.0,8003824,0
charlotte,maynard,33.0,tarrabool street,little shalford,worongary,2068,nsw,19840915.0,3337218,charlotte,coffey,5.0,hallen close,nan,ringwood,2560,nan,19741217.0,9493726,0
molly,roche,59.0,willoughby crescent,donna valley,carrara,4825,nsw,19200712.0,1847058,molly,hanna,18.0,lewis luxton avenue,tullaillan,salisbury east,2032,vic,19171018.0,3994290,0
james,laverty,8.0,hovea street,mosman park,somerton park,2913,nsw,19161031.0,8889937,james,rosendale,1.0,boultin close,middle earth,bateman,2147,nsw,19720223.0,3756981,0
bradley,matthews,2.0,jondol place,horseshoe ck,jacobs well,7018,sa,19481122.0,8927667,bradley,komsic,6.0,westbury cricuit,meadow view,adamstowv heights,2046,qld,19140420.0,5731419,0
nan,maslich,38.0,ibis street,wee wilbertree,carine,3337,vic,19360105.0,3611483,nan,walls,14.0,florence tayoor street,nepean shores,p adstow,3048,qld,19200129.0,1018744,0
emiily,campbell,13.0,beazley crescent,cameroo,leichhardt,2759,qld,19250103.0,2816217,emiily,lowry,13.0,chaseling street,nan,ingleburn,2193,nsw,19940616.0,9820630,0
nan,gilbertson,5.0,goodwin street,court units,ethelton,2193,qld,19020904.0,2879807,nan,garanggar,nan,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016.0,1366884,0
nan,koteschel,3.0,mayne street,grey oaks,swan view,4305,vic,19430808.0,1393004,nan,georhe,15.0,nan,wurtulla shooping vlge,naroomj,4114,qld,19430207.0,5897606,0
thomas,drougas,29.0,collins place,moonylora,oakville,2560,qld,19670112.0,8993502,thomas,humphreys,35.0,mayne street,gullcottzge,the entrance,2000,qld,19880516.0,3033895,0
nan,painter,60.0,cockle street,tantallon,casula,3064,nsw,19181001.0,4954628,nan,prideaux,117.0,wilshire street,rosetta village,bonyton,4503,nt,19700320.0,4150192,0
jacob,sporton,28.0,kosciusko avenue,nan,ringwood,2466,vic,19300816.0,1934981,jacob,callahan,107.0,lyrebird place,nan,burwodo,6152,wa,19220110.0,4360694,0
michael,darch,55.0,batman street,rockview,salisbury east,3523,nsw,19130907.0,9846815,michael,acciairresa,18.0,eyre street,autum l odge,preston,4218,vic,19580720.0,5106898,0
benjamin,paterson,31.0,dodwell street,nan,devonport,2095,nsw,19120913.0,6303884,benjamin,morrison,2487.0,noongale court,fairfield waters,st alnans,2840,vic,19520110.0,9155694,0
nan,painter,60.0,cockle street,tantallon,casula,3064,nsw,19181001.0,4954628,nan,michelmroe,103.0,fimistermircuit,swanie,moorooblark,4174,nsw,19761101.0,6406097,0
matthew,green,57.0,howitt street,nan,nan,4740,wa,19861119.0,3767916,matthew,schuster,1.0,elmslie place,centrefai rplaza,ulladulla,2251,vic,19890911.0,9319732,0
noah,maier,2.0,cromwell circuit,pine view,ryde,4700,nsw,19020410.0,4418189,noah,klemencic,46.0,truscott tsreet,mc kail,dulwich hill,2094,qld,19421216.0,9564581,0
samuel,rudd,46.0,powlett street,gilgowie jacks,kingston,3453,sa,19580819.0,7309587,samuel,eglinton,17.0,tanumbirini street,birks harbour,raymond terrace,2176,vic,19690927.0,2802987,0
matthew,nan,29.0,forbes street,locn 7560,botany,3019,nsw,19291107.0,9737703,matthew,gulliver,50.0,malcolm olace,nan,sefton,4817,nsw,19790129.0,2462951,0
nan,lowry,6.0,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708.0,6616912,nan,reid,32.0,ina gregory circuit,john flynn medical centre,camira,3172,nsw,19041113.0,8734967,0
harry,dignam,22.0,investigator street,nan,fairlight,2535,qld,19241105.0,2134538,harry,bishop,5.0,darwinia terrace,craigsto nl1bg,glenmore aprk,4830,wa,19781114.0,7781607,0
thomas,nickolai,17.0,clode crescent,bendigo retirement village,woy woy,3851,tas,19390429.0,4414879,thomas,edis,61.0,kellick place,f lt h0,bateman,3782,nsw,19890830.0,6857124,0
